fold,xgb_champion_auc,digit_candidate_auc,delta_vs_xgb_champion,catboost_auc,delta_vs_catboost,best_iteration,te_generation_seconds,fit_seconds,inference_seconds,total_fold_seconds
0,0.9449139511126398,0.9448567094630643,-5.724164957543465e-05,0.9445226451913928,0.0003340642716714859,903,1.5105509999993956,19.977972400003637,2.870885800002725,27.388195599996834
1,0.945509644061093,0.9454822526906932,-2.7391370399754145e-05,0.9450696193102858,0.00041263338040742337,1023,1.6655373000030522,25.81351050000376,3.3488929999948596,34.028026100000716
2,0.9468314539847251,0.9467524587372129,-7.899524751220355e-05,0.9464517911811139,0.0003006675560990324,831,1.4780826999995043,17.409996700000193,2.793390000006184,24.70491239999683
3,0.9460558259852887,0.9460269307156188,-2.889526966987077e-05,0.9457721613739136,0.0002547693417052077,743,1.497514400005457,18.260357200000726,2.6964156000030925,25.418769700001576
4,0.9458602948362825,0.9458018801612905,-5.841467499201336e-05,0.9454100967519183,0.0003917834093721817,674,1.6219378000023426,19.473398000001907,2.370813800000178,26.492489000003843
