smoothing,oof_auc,delta_vs_m100,folds_improved_vs_m100,folds_worse_vs_m100,probability_corr_vs_catboost,rank_corr_vs_catboost,runtime_seconds
25.0,0.9449813663825716,0.0005631873677307553,5,0,0.8079805350718342,0.9948529265967343,63.69683889999942
50.0,0.9446380932188031,0.00021991420396227923,5,0,0.8079111977470378,0.994463042233378,65.52502559999994
100.0,0.9444181790148408,0.0,0,0,0.8078619483268099,0.9941330666742026,71.02895929999977
200.0,0.9441865894620178,-0.0002315895528229861,0,5,0.8077767680793361,0.9938641879901117,63.919287200000326
400.0,0.9440280489753681,-0.00039013003947274694,0,5,0.8076648124901591,0.9936345568559573,65.68267630000082
