smoothing,fold,raw_xgb_auc,candidate_auc,delta_vs_raw_xgb,catboost_champion_auc,delta_vs_catboost_champion,best_iteration_zero_based,te_generation_seconds,fit_seconds,inference_seconds,total_fold_seconds
25.0,0,0.9408706582447172,0.9440477049848505,0.0031770467401333047,0.9445226451913928,-0.00047494020654237357,1665,1.7405674999990879,13.14182620000065,0.25691550000010466,15.263818600000377
25.0,1,0.9417301473655416,0.9446993226144433,0.002969175248901723,0.9450696193102858,-0.0003702966958424314,1437,1.5470366000008653,9.855727000000115,0.23154240000076243,11.764399399999093
25.0,2,0.9431367450896386,0.9459517611597622,0.002815016070123577,0.9464517911811139,-0.0005000300213516828,1655,1.6362429000000702,11.255179400000998,0.25326610000047367,13.285397199999352
25.0,3,0.9425899293322193,0.945137970310206,0.0025480409779866653,0.9457721613739136,-0.0006341910637076564,1273,1.5943867000005412,8.82321839999895,0.222761700000774,10.773128599999836
25.0,4,0.9420368130630926,0.9451007378450227,0.003063924781930072,0.9454100967519183,-0.0003093589068956515,1582,1.6115076000005502,10.582171500000186,0.24908639999921434,12.581525900000997
50.0,0,0.9408706582447172,0.9437157554368386,0.0028450971921214485,0.9445226451913928,-0.0008068897545542297,1783,1.599727200000416,13.230731699999524,0.2817689000003156,15.249343800000133
50.0,1,0.9417301473655416,0.9443553476469486,0.002625200281407003,0.9450696193102858,-0.0007142716633371515,1325,1.6993106999998417,8.869739500001742,0.21075050000035844,10.905437699999311
50.0,2,0.9431367450896386,0.9456147678613438,0.0024780227717051684,0.9464517911811139,-0.0008370233197700916,1750,1.5382228000016767,10.950260999999955,0.296590500000093,12.937691900000573
50.0,3,0.9425899293322193,0.9448131325288032,0.0022232031965838672,0.9457721613739136,-0.0009590288451104545,1367,1.8652194999995118,9.887889900001028,0.21993060000022524,12.112268299999414
50.0,4,0.9420368130630926,0.9447136313800653,0.00267681831697264,0.9454100967519183,-0.0006964653718530833,1638,1.7540122999998857,12.124245999999403,0.28132650000043213,14.288000300000931
100.0,0,0.9408706582447172,0.9434991445425898,0.002628486297872601,0.9445226451913928,-0.0010235006488030773,1859,1.679318599999533,12.909383700000035,0.302570799998648,15.034746799999994
100.0,1,0.9417301473655416,0.9442280422052491,0.0024978948397075262,0.9450696193102858,-0.0008415771050366283,1838,1.7858082000002469,12.441350299999613,0.3091784000007465,14.668289900000673
100.0,2,0.9431367450896386,0.9454557674613029,0.002319022371664259,0.9464517911811139,-0.0009960237198110011,1894,1.707398300000932,12.63312709999991,0.3005673999996361,14.765196800000922
100.0,3,0.9425899293322193,0.9445145247367286,0.0019245954045092883,0.9457721613739136,-0.0012576366371850334,1424,1.792165799999566,10.20974969999952,0.24105039999994915,12.371002300000328
100.0,4,0.9420368130630926,0.944426216524135,0.0023894034610424386,0.9454100967519183,-0.0009838802277832848,1762,1.7201964000014414,12.017071500000384,0.28432799999973213,14.161007099999551
200.0,0,0.9408706582447172,0.9432373234051064,0.002366665160389192,0.9445226451913928,-0.0012853217862864863,1644,1.8501845999999205,11.041367799998625,0.26892790000056266,13.296038399999816
200.0,1,0.9417301473655416,0.9439112247027482,0.0021810773372066272,0.9450696193102858,-0.0011583946075375273,1895,1.644694200000231,12.33742699999857,0.29941970000072615,14.406892099999823
200.0,2,0.9431367450896386,0.9451932047638508,0.0020564596742121966,0.9464517911811139,-0.0012585864172630634,1751,1.722161399999095,10.569698500001323,0.25828290000026755,12.672510999998849
200.0,3,0.9425899293322193,0.944381413359429,0.0017914840272097443,0.9457721613739136,-0.0013907480144845774,1489,1.6468739000010828,9.04260020000038,0.22920429999976477,11.05409680000048
200.0,4,0.9420368130630926,0.9442434716221453,0.0022066585590526655,0.9454100967519183,-0.0011666251297730579,1643,1.6579762999990635,10.413560099999813,0.27210980000018026,12.466721800001324
400.0,0,0.9408706582447172,0.9429897023179362,0.0021190440732190563,0.9445226451913928,-0.001532942873456622,1611,1.71066509999946,10.356508499999109,0.24586149999959162,12.437014099999942
400.0,1,0.9417301473655416,0.9438261942690637,0.002096046903522053,0.9450696193102858,-0.0012434250412221015,1935,1.6998346999989735,12.033740599999874,0.2878805000000284,14.14594389999911
400.0,2,0.9431367450896386,0.9450427132063255,0.0019059681166868625,0.9464517911811139,-0.0014090779747883975,1924,1.944772599999851,12.118088900000657,0.2791625000008935,14.48024389999955
400.0,3,0.9425899293322193,0.9442147053301664,0.001624775997947081,0.9457721613739136,-0.0015574560437472407,1614,1.7161570999996911,9.77091130000008,0.24896949999856588,11.865527500000098
400.0,4,0.9420368130630926,0.9440990458951157,0.0020622328320231142,0.9454100967519183,-0.0013110508568026091,1790,1.6964305999990756,10.640098799998668,0.26610380000056466,12.729490899999291
