held_fold,control_cat_weight,control_old_xgb_weight,control_lgbm_weight,control_fit_auc,control_held_auc,candidate_cat_weight,candidate_new_xgb_weight,candidate_lgbm_weight,candidate_fit_auc,candidate_held_auc,candidate_delta_vs_control
0,0.25,0.5,0.25,0.9462032765907045,0.9450119190852846,0.2,0.55,0.25,0.9462012215421238,0.9450309977602163,1.9078674931671813e-05
1,0.25,0.5,0.25,0.9460437264870308,0.9456511979495246,0.2,0.6,0.2,0.9460467312683148,0.9456496143362232,-1.583613301381348e-06
2,0.2,0.55,0.25,0.9457127933777196,0.9469760420490888,0.2,0.55,0.25,0.9457126021400108,0.9469862813261267,1.0239277037915606e-05
3,0.2,0.55,0.25,0.9459034914363698,0.946212395592249,0.2,0.6,0.2,0.9459100753787778,0.9461949036960084,-1.7491896240562355e-05
4,0.2,0.55,0.25,0.9459637421517597,0.9459699625302779,0.2,0.6,0.2,0.9459661277621708,0.9459702478328089,2.8530253104452896e-07
