reference,reference_auc,probability_corr,rank_corr
fine_xgb,0.94606664,0.9865981553861612,0.9880458139536111
fine_cat,0.94578633,0.7971533876063739,0.9854700221595263
lgbm,0.94578042,0.986262214476027,0.98799891731937
champion,0.94611253,0.7983702861692777,0.9886554388731774
