feature,is_value_identity,is_explicit_interaction,mean_importance,std_importance
Subsidy_x_Income,False,True,23.704858553080744,3.8956721142284474
Subsidy_x_EnvConcern,False,True,23.00136590273274,3.6726311379934473
Environmental_Concern_Level,False,False,19.996602288940437,1.635764347590967
Annual_Income_USD_id,True,False,8.811337060059634,0.46017851063590154
Range_Anxiety_Level,False,False,6.692366522141418,0.7667146984675856
Annual_Income_USD,False,False,6.393884345798054,1.0735264124849482
Age,False,False,2.368095759631945,0.23305678679659078
Daily_Commute_km_id,True,False,2.247535926670809,0.23468152960757344
Daily_Commute_km,False,False,1.5752106990961057,0.1690184987494606
Subsidy_x_HomeCharging,False,True,1.2935379497468844,0.3082123408613445
Charging_Stations_Near_Home,False,False,1.0760523773125998,0.08891823886883257
Charging_Stations_Near_Work,False,False,0.8475483308295418,0.17415273255969715
Current_Car_Type,False,False,0.581159824258032,0.15074672803822337
Gender,False,False,0.47960054090576126,0.07844109660146349
City_Type,False,False,0.47897351009612626,0.103077105160682
Number_of_Cars_Owned,False,False,0.33343309978895985,0.07637953861941457
Home_Charging_Possible,False,False,0.0833493179975529,0.016121352718873334
Subsidy_Available,False,False,0.035087990912700366,0.0734203293462593
