fold,value_id_champion_auc,value_id_interactions_auc,delta_vs_value_id_champion,xgboost_depth4_auc,delta_vs_xgboost,best_iteration_zero_based,tree_count,fit_seconds
0,0.9444548687151119,0.9443583953825221,-9.647333258977486e-05,0.9408706582447172,0.003487737137804925,1055,1056,61.96081170000252
1,0.944960943289874,0.945023628581067,6.268529119302091e-05,0.9417301473655416,0.003293481215525418,1648,1649,104.62741769999775
2,0.9463564213914613,0.9463828389318079,2.6417540346601598e-05,0.9431367450896386,0.0032460938421692287,1454,1455,100.86410070000056
3,0.9457240208872144,0.9456906348664879,-3.338602072655572e-05,0.9425899293322193,0.0031007055342685552,1383,1384,108.13614099999904
4,0.945356736838697,0.9452853202427156,-7.14165959814217e-05,0.9420368130630926,0.0032485071796229947,1363,1364,98.91393769999922
