fold,feature,is_hierarchical_income_te,is_exact_te,is_income_digit,is_exact_frequency,gain_importance
2,FE__commute_exact_frequency_log1p,False,False,False,True,0.007795528043061495
2,FE__commute_exact_frequency_rate,False,False,False,True,0.008724250830709934
2,TE__Annual_Income_USD_exact,False,True,False,False,0.08441203087568283
2,TE__Daily_Commute_km_exact,False,True,False,False,0.025753790512681007
2,HTE__income_1k_bucket,True,False,False,False,0.01695510558784008
2,HTE__income_10k_bucket,True,False,False,False,0.021135913208127022
2,HTE__income_100k_bucket,True,False,False,False,0.009657680988311768
3,Age,False,False,False,False,0.018427608534693718
3,Annual_Income_USD,False,False,False,False,0.05886486545205116
3,Daily_Commute_km,False,False,False,False,0.012347136624157429
3,Number_of_Cars_Owned,False,False,False,False,0.010869896970689297
3,Charging_Stations_Near_Home,False,False,False,False,0.013279447332024574
3,Charging_Stations_Near_Work,False,False,False,False,0.011427781544625759
3,Environmental_Concern_Level,False,False,False,False,0.05821412429213524
3,Gender,False,False,False,False,0.010222943499684334
3,City_Type,False,False,False,False,0.011848262511193752
3,Current_Car_Type,False,False,False,False,0.011107522994279861
3,Home_Charging_Possible,False,False,False,False,0.02977987565100193
3,Subsidy_Available,False,False,False,False,0.011709538288414478
3,Range_Anxiety_Level,False,False,False,False,0.01974361576139927
3,FE__income_digit_ones,False,False,True,False,0.01039118506014347
3,FE__income_digit_tens,False,False,True,False,0.011062301695346832
3,FE__income_digit_hundreds,False,False,True,False,0.013794596306979656
3,FE__income_digit_thousands,False,False,True,False,0.013250299729406834
3,FE__income_digit_ten_thousands,False,False,True,False,0.030668525025248528
3,FE__income_digit_hundred_thousands,False,False,True,False,0.3377377688884735
3,FE__income_last2,False,False,True,False,0.01065640989691019
3,FE__income_last3,False,False,True,False,0.012100274674594402
3,FE__income_exact_frequency_count,False,False,False,True,0.013933641836047173
3,FE__income_exact_frequency_log1p,False,False,False,True,0.01405551191419363
3,FE__income_exact_frequency_rate,False,False,False,True,0.012054692953824997
3,FE__commute_exact_frequency_count,False,False,False,True,0.010544643737375736
3,FE__commute_exact_frequency_log1p,False,False,False,True,0.010282459668815136
3,FE__commute_exact_frequency_rate,False,False,False,True,0.009922963567078114
3,TE__Annual_Income_USD_exact,False,True,False,False,0.11482659727334976
3,TE__Daily_Commute_km_exact,False,True,False,False,0.035477712750434875
3,HTE__income_1k_bucket,True,False,False,False,0.020824894309043884
3,HTE__income_10k_bucket,True,False,False,False,0.029595589265227318
3,HTE__income_100k_bucket,True,False,False,False,0.010977315716445446
4,Age,False,False,False,False,0.023203568533062935
4,Annual_Income_USD,False,False,False,False,0.07268264144659042
4,Daily_Commute_km,False,False,False,False,0.015462717041373253
4,Number_of_Cars_Owned,False,False,False,False,0.014429798349738121
4,Charging_Stations_Near_Home,False,False,False,False,0.017550472170114517
4,Charging_Stations_Near_Work,False,False,False,False,0.014858844690024853
4,Environmental_Concern_Level,False,False,False,False,0.07717675715684891
4,Gender,False,False,False,False,0.013001608662307262
4,City_Type,False,False,False,False,0.015414591878652573
4,Current_Car_Type,False,False,False,False,0.01470816507935524
4,Home_Charging_Possible,False,False,False,False,0.03849345073103905
4,Subsidy_Available,False,False,False,False,0.01447202917188406
4,Range_Anxiety_Level,False,False,False,False,0.02607281506061554
4,FE__income_digit_ones,False,False,True,False,0.013851146213710308
4,FE__income_digit_tens,False,False,True,False,0.013167954981327057
4,FE__income_digit_hundreds,False,False,True,False,0.017576297745108604
4,FE__income_digit_thousands,False,False,True,False,0.017039796337485313
4,FE__income_digit_ten_thousands,False,False,True,False,0.0326249860227108
4,FE__income_digit_hundred_thousands,False,False,True,False,0.15904630720615387
4,FE__income_last2,False,False,True,False,0.013963224366307259
4,FE__income_last3,False,False,True,False,0.016324179247021675
4,FE__income_exact_frequency_count,False,False,False,True,0.01750973053276539
4,FE__income_exact_frequency_log1p,False,False,False,True,0.018817540258169174
4,FE__income_exact_frequency_rate,False,False,False,True,0.030031481757760048
4,FE__commute_exact_frequency_count,False,False,False,True,0.013599023222923279
4,FE__commute_exact_frequency_log1p,False,False,False,True,0.014441890642046928
4,FE__commute_exact_frequency_rate,False,False,False,True,0.016686784103512764
4,TE__Annual_Income_USD_exact,False,True,False,False,0.12932245433330536
4,TE__Daily_Commute_km_exact,False,True,False,False,0.03929353877902031
4,HTE__income_1k_bucket,True,False,False,False,0.025912655517458916
4,HTE__income_10k_bucket,True,False,False,False,0.03678513318300247
4,HTE__income_100k_bucket,True,False,False,False,0.016478434205055237
