fold,baseline_xgb_auc,candidate_auc,delta_vs_baseline,best_iteration,fit_seconds,total_fold_seconds
0,0.9449139511126398,0.9449267203350673,1.2769222427544413e-05,1112,11.231168900005287,17.915075899996737
1,0.945509644061093,0.9455665333082081,5.6889247115110564e-05,1433,13.615554299998621,19.97332379999716
2,0.9468314539847251,0.9469170951714145,8.564118668941134e-05,1143,11.388784700000542,17.81115829999908
3,0.9460558259852887,0.9460633189102942,7.49292500545895e-06,1079,11.257024400001683,17.81567019999784
4,0.9458602948362825,0.9459080561479662,4.776131168371389e-05,1377,13.102353100002802,19.652645800000755
