held_fold,control_cat_weight,control_old_xgb_weight,control_lgbm_weight,control_fit_auc,control_held_auc,candidate_cat_weight,candidate_new_xgb_weight,candidate_lgbm_weight,candidate_fit_auc,candidate_held_auc,candidate_delta_vs_control
0,0.2,0.55,0.25,0.9461647918418459,0.9449749984113873,0.2,0.6,0.2,0.9461931919293098,0.9450054341008253,3.04356894379465e-05
1,0.2,0.55,0.25,0.9460062320770974,0.9456111927549159,0.2,0.6,0.2,0.9460354273693001,0.9456376283327442,2.6435577828332057e-05
2,0.2,0.5,0.3,0.9456726049477792,0.9469446868936259,0.15,0.6,0.25,0.9457027613500841,0.9469677223092023,2.303541557646671e-05
3,0.2,0.55,0.25,0.9458725323957272,0.9461439262819658,0.15,0.6,0.25,0.945895369385653,0.9461963352514006,5.240896943481399e-05
4,0.2,0.5,0.3,0.9459196751577938,0.9459556050828508,0.2,0.6,0.2,0.945953256128519,0.9459645656382115,8.96055536070417e-06
