file,oof_rows,row_count_ok,columns,detected_id_col,id_alignment,target_col,target_alignment,fold_candidates,frozen_fold_match_columns,prediction_candidates,best_prediction_column,best_recomputed_auc,matching_test_file,test_rows,test_row_count_ok,test_id_alignment
01_blend_oof.csv,668665,True,id | Will_Buy_EV,id,EXACT,Will_Buy_EV,COLUMN_NAME_IS_PREDICTION_NOT_LABEL,,,Will_Buy_EV,Will_Buy_EV,0.9461845832633258,01_submission.csv,286571,True,EXACT
Pure LGBM_V1_oof.csv,668665,True,id | OOF_Pred,id,EXACT,,NO_TARGET_COLUMN,,,OOF_Pred,OOF_Pred,0.9458660241607995,Pure LGBM_V1_test.csv,286571,True,EXACT
Pure LGBM_V3_oof.csv,668665,True,id | OOF_Pred,id,EXACT,,NO_TARGET_COLUMN,,,OOF_Pred,OOF_Pred,0.9460642523865461,Pure LGBM_V3_test.csv,286571,True,EXACT
Pure LGBM_V5_oof.csv,668665,True,id | OOF_Pred,id,EXACT,,NO_TARGET_COLUMN,,,OOF_Pred,OOF_Pred,0.9461696392679959,Pure LGBM_V5_test.csv,286571,True,EXACT
Pure LGBM_V6_oof.csv,668665,True,id | OOF_Pred,id,EXACT,,NO_TARGET_COLUMN,,,OOF_Pred,OOF_Pred,0.9460677414641655,Pure LGBM_V6_test.csv,286571,True,EXACT
Sergey_LGBM_oof.csv,668665,True,id | Will_Buy_EV,id,EXACT,Will_Buy_EV,COLUMN_NAME_IS_PREDICTION_NOT_LABEL,,,,,,Sergey_LGBM_submission.csv,286571,True,EXACT
XGBoost_Triple_TE_10folds_oof.csv,668665,True,id | OOF_Pred,id,EXACT,,NO_TARGET_COLUMN,,,OOF_Pred,OOF_Pred,0.9462428307575335,XGBoost_Triple_TE_10folds_test.csv,286571,True,EXACT
XGBoost_Triple_TE_5folds_oof.csv,668665,True,id | OOF_Pred,id,EXACT,,NO_TARGET_COLUMN,,,OOF_Pred,OOF_Pred,0.9461421757639688,XGBoost_Triple_TE_5folds_test.csv,286571,True,EXACT
