fold,seed42_auc,best_ensemble_auc,delta_vs_seed42
0,0.9445330426958615,0.9445888548752569,5.581217939543137e-05
1,0.9450693223706697,0.9451558415754138,8.651920474411767e-05
2,0.9465131027144364,0.9465984085591299,8.530584469346181e-05
3,0.945763107721874,0.945808963848811,4.585612693697172e-05
4,0.9454831223688367,0.9455562275058349,7.310513699820831e-05
