fold,current_cat3_auc,candidate_cat3_auc,delta_vs_current_cat3
0,0.944622434235343,0.9448818817152878,0.00025944747994477435
1,0.9452410483109344,0.9455093562371935,0.0002683079262590926
2,0.9466248679929821,0.9466934148838312,6.854689084911936e-05
3,0.9458751241675017,0.9460652985723843,0.00019017440488255932
4,0.9455907217649453,0.9458087062813321,0.00021798451638677108
