held_fold,selected_cat_weight,selected_xgb_weight,selection_auc_other_4_folds,held_cat_auc,held_xgb_auc,held_blend_auc,blend_delta_vs_cat,blend_delta_vs_xgb
0,0.3,0.7,0.94601259912434,0.9445226451913928,0.9447630702442151,0.9448402011190452,0.00031755592765236873,7.713087483007808e-05
1,0.32,0.6799999999999999,0.9458668678998817,0.9450696193102858,0.9453883829212821,0.945436353894445,0.0003667345841592562,4.7970973162891895e-05
2,0.3,0.7,0.9455418645778241,0.9464517911811139,0.9466384888129359,0.9467292200605537,0.00027742887943982275,9.07312476178257e-05
3,0.29,0.71,0.9457110062094487,0.9457721613739136,0.945950558660991,0.9460453048968452,0.00027314352293161814,9.474623585425945e-05
4,0.34,0.6599999999999999,0.9457594617063783,0.9454100967519183,0.9458448786080825,0.9458560292628184,0.00044593251090008224,1.115065473589194e-05
