iter	Passed	Remaining
398	80152	522496
399	80353	522295
400	80540	522005
401	80732	521748
402	80921	521469
403	81086	521041
404	81285	520830
405	81477	520573
406	81678	520374
407	81886	520218
408	82063	519872
409	82254	519607
410	82415	519157
411	82597	518843
412	82766	518445
413	82985	518361
414	83180	518122
415	83379	517913
416	83570	517656
417	83740	517268
418	83913	516900
419	84105	516646
420	84296	516389
421	84498	516200
422	84681	515897
423	84865	515599
424	85051	515311
425	85223	514942
426	85417	514708
427	85587	514326
428	85757	513942
429	85949	513699
430	86140	513443
431	86321	513132
432	86513	512889
433	86695	512582
434	86867	512218
435	87051	511925
436	87229	511597
437	87422	511359
438	87620	511155
439	87790	510783
440	87968	510455
441	88151	510160
442	88333	509861
443	88520	509592
444	88710	509338
445	88886	509006
446	89081	508782
447	89278	508568
448	89445	508183
449	89626	507882
450	89811	507604
451	90024	507485
452	90205	507179
453	90393	506918
454	90568	506586
455	90734	506201
456	90924	505954
457	91094	505596
458	91279	505320
459	91468	505067
460	91653	504790
461	91826	504450
462	92012	504180
463	92202	503936
464	92394	503698
465	92596	503516
466	92806	503380
467	93012	503221
468	93199	502958
469	93386	502699
470	93585	502501
471	93784	502302
472	93986	502120
473	94201	502009
474	94417	501901
475	94600	501622
476	94808	501473
477	95001	501242
478	95217	501135
479	95398	500841
480	95573	500519
481	95756	500235
482	95948	500002
483	96162	499883
484	96352	499640
485	96540	499388
486	96717	499079
487	96916	498884
488	97095	498582
489	97283	498329
490	97527	498362
491	97737	498223
492	97946	498078
493	98117	497735
494	98320	497558
495	98518	497357
496	98721	497181
497	98936	497068
498	99133	496860
499	99333	496667
500	99546	496539
501	99758	496409
502	99988	496362
503	100210	496279
504	100403	496052
505	100604	495864
506	100806	495680
507	101009	495500
508	101194	495235
509	101392	495031
510	101593	494848
511	101783	494602
512	101969	494344
513	102153	494073
514	102357	493899
515	102530	493578
516	102721	493339
517	102917	493129
518	103108	492893
519	103278	492560
520	103489	492419
521	103674	492154
522	103874	491961
523	104070	491753
524	104241	491425
525	104411	491093
526	104608	490883
527	104783	490576
528	104983	490388
529	105177	490164
530	105383	490003
531	105576	489780
532	105773	489573
533	105994	489478
534	106168	489171
535	106349	488892
536	106517	488550
537	106695	488260
538	106879	487995
539	107044	487646
540	107244	487456
541	107439	487245
542	107634	487029
543	107816	486760
544	108001	486501
545	108167	486159
546	108358	485931
547	108547	485689
548	108741	485475
549	108930	485237
550	109118	484992
551	109308	484758
552	109476	484426
553	109669	484207
554	109858	483971
555	110049	483743
556	110240	483512
557	110426	483264
558	110604	482978
559	110792	482738
560	111006	482612
561	111227	482514
562	111443	482395
563	111645	482215
564	111839	481998
565	112032	481780
566	112219	481536
567	112424	481365
568	112622	481168
569	112819	480969
570	113015	480761
571	113183	480434
572	113362	480158
573	113566	479986
574	113769	479810
575	113957	479572
576	114106	479168
577	114355	479183
578	114543	478944
579	114730	478703
580	114916	478456
581	115110	478243
582	115301	478015
583	115484	477759
584	115657	477456
585	115839	477196
586	116030	476970
587	116219	476736
588	116409	476506
589	116600	476282
590	116796	476078
591	117000	475908
592	117200	475718
593	117369	475406
594	117565	475201
595	117746	474937
596	117943	474739
597	118123	474468
598	118286	474134
599	118475	473902
600	118650	473614
601	118825	473329
602	119026	473146
603	119227	472962
604	119406	472690
605	119586	472425
606	119768	472167
607	119962	471959
608	120143	471696
609	120336	471482
610	120518	471223
611	120702	470976
612	120891	470748
613	121084	470532
614	121265	470274
615	121453	470042
616	121627	469752
617	121815	469521
618	122011	469318
619	122212	469137
620	122406	468930
621	122610	468757
622	122763	468391
623	122931	468085
624	123128	467889
625	123313	467647
626	123501	467413
627	123691	467190
628	123877	466952
629	124058	466695
630	124247	466468
631	124430	466219
632	124639	466068
633	124815	465795
634	125007	465579
635	125202	465373
636	125397	465169
637	125588	464954
638	125752	464633
639	125913	464304
640	126085	464017
641	126260	463742
642	126460	463558
643	126657	463362
644	126850	463151
645	127078	463069
646	127266	462839
647	127457	462625
648	127652	462420
649	127849	462224
650	128026	461956
651	128215	461734
652	128407	461521
653	128600	461308
654	128770	461019
655	128961	460801
656	129156	460600
657	129317	460277
658	129506	460052
659	129704	459859
660	129870	459555
661	130076	459394
662	130279	459221
663	130452	458942
664	130638	458706
665	130814	458441
666	131005	458223
667	131186	457974
668	131367	457725
669	131568	457545
670	131760	457332
671	131929	457041
672	132110	456791
673	132319	456638
674	132515	456442
675	132704	456219
676	132893	456000
677	133065	455721
678	133247	455475
679	133431	455237
680	133617	455006
681	133808	454792
682	133980	454512
683	134169	454294
684	134355	454061
685	134558	453890
686	134744	453658
687	134939	453460
688	135111	453181
689	135299	452958
690	135501	452782
691	135676	452517
692	135860	452279
693	136045	452047
694	136227	451804
695	136429	451629
696	136625	451431
697	136822	451239
698	137015	451034
699	137208	450826
700	137392	450592
701	137573	450346
702	137735	450039
703	137962	449946
704	138152	449731
705	138347	449530
706	138535	449310
707	138719	449073
708	138911	448866
709	139097	448637
710	139291	448436
711	139470	448184
712	139670	448004
713	139877	447842
714	140064	447618
715	140257	447414
716	140442	447182
717	140605	446883
718	140795	446668
719	140987	446461
720	141174	446237
721	141369	446038
722	141544	445777
723	141734	445564
724	141918	445329
725	142118	445149
726	142306	444927
727	142504	444738
728	142688	444506
729	142871	444270
730	143077	444108
731	143268	443897
732	143438	443621
733	143629	443411
734	143828	443226
735	144015	443004
736	144215	442821
737	144410	442622
738	144581	442353
739	144770	442138
740	144951	441895
741	145128	441644
742	145324	441448
743	145487	441155
744	145665	440906
745	145850	440679
746	146023	440415
747	146216	440213
748	146401	439986
749	146585	439755
750	146766	439518
751	146956	439305
752	147137	439068
753	147316	438824
754	147498	438587
755	147701	438414
756	147902	438235
757	148111	438082
758	148328	437948
759	148526	437763
760	148720	437564
761	148900	437323
762	149088	437105
763	149269	436866
764	149464	436670
765	149653	436456
766	149835	436222
767	150018	435991
768	150203	435766
769	150379	435515
770	150566	435296
771	150760	435095
772	150954	434898
773	151135	434662
774	151347	434514
775	151536	434300
776	151715	434057
777	151914	433872
778	152099	433648
779	152275	433399
780	152462	433179
781	152627	432900
782	152818	432692
783	152994	432442
784	153184	432233
785	153372	432020
786	153561	431805
787	153729	431534
788	153979	431492
789	154175	431302
790	154359	431074
791	154551	430869
792	154737	430649
793	154951	430508
794	155138	430289
795	155326	430074
796	155510	429849
797	155712	429672
798	155910	429486
799	156099	429274
800	156293	429074
801	156456	428793
802	156648	428589
803	156839	428381
804	157048	428226
805	157236	428011
806	157399	427728
807	157594	427533
808	157791	427342
809	157984	427142
810	158189	426973
811	158381	426770
812	158573	426569
813	158773	426385
814	158958	426165
815	159155	425976
816	159343	425760
817	159541	425573
818	159734	425374
819	159937	425200
820	160137	425018
821	160365	424909
822	160548	424684
823	160750	424505
824	160945	424311
825	161140	424114
826	161327	423900
827	161514	423683
828	161708	423486
829	161895	423268
830	162075	423034
831	162250	422788
832	162414	422511
833	162611	422322
834	162807	422130
835	163025	421994
836	163209	421771
837	163405	421578
838	163600	421383
839	163783	421158
840	163975	420955
841	164161	420735
842	164340	420500
843	164517	420259
844	164710	420061
845	164934	419938
846	165143	419780
847	165342	419594
848	165538	419402
849	165729	419198
850	165908	418962
851	166103	418767
852	166274	418511
853	166450	418269
854	166656	418102
855	166841	417884
856	167033	417681
857	167229	417488
858	167415	417272
859	167614	417087
860	167811	416898
861	167954	416573
862	168148	416375
863	168341	416178
864	168535	415981
865	168729	415784
866	168907	415547
867	169092	415327
868	169285	415130
869	169477	414927
870	169658	414698
871	169875	414559
872	170067	414356
873	170258	414153
874	170462	413980
875	170659	413791
876	170842	413567
877	171040	413379
878	171222	413155
879	171410	412944
880	171602	412741
881	171791	412533
882	171995	412360
883	172172	412123
884	172363	411920
885	172543	411689
886	172736	411491
887	172925	411283
888	173125	411099
889	173313	410889
890	173499	410672
891	173701	410496
892	173881	410266
893	174058	410029
894	174243	409813
895	174435	409611
896	174623	409401
897	174811	409191
898	174993	408966
899	175153	408690
900	175369	408546
901	175591	408416
902	175804	408264
903	176028	408136
904	176230	407958
905	176448	407819
906	176675	407698
907	176859	407477
908	177049	407272
909	177235	407057
910	177429	406860
911	177610	406633
912	177794	406414
913	177986	406213
914	178173	406001
915	178372	405817
916	178583	405660
917	178776	405459
918	178964	405249
919	179131	404992
920	179326	404798
921	179513	404586
922	179699	404373
923	179868	404119
924	180051	403899
925	180235	403680
926	180414	403452
927	180607	403252
928	180789	403029
929	180981	402829
930	181176	402635
931	181365	402429
932	181559	402233
933	181765	402062
934	181967	401885
935	182157	401680
936	182335	401450
937	182520	401234
938	182712	401033
939	182883	400787
940	183078	400593
941	183263	400377
942	183454	400176
943	183642	399967
944	183834	399768
945	184022	399558
946	184162	399245
947	184350	399037
948	184549	398851
949	184751	398673
950	184936	398459
951	185125	398253
952	185307	398032
953	185493	397818
954	185671	397590
955	185881	397429
956	186066	397214
957	186256	397010
958	186449	396812
959	186648	396627
960	186873	396499
961	187085	396341
962	187275	396136
963	187465	395932
964	187622	395660
965	187792	395413
966	187982	395210
967	188176	395014
968	188368	394814
969	188548	394591
970	188741	394394
971	188929	394187
972	189110	393963
973	189310	393781
974	189506	393590
975	189688	393371
976	189887	393185
977	190073	392973
978	190242	392727
979	190421	392502
980	190608	392292
981	190793	392078
982	190988	391886
983	191155	391636
984	191339	391419
985	191521	391201
986	191731	391038
987	191949	390892
988	192139	390690
989	192331	390490
990	192523	390293
991	192719	390101
992	192912	389905
993	193141	389780
994	193324	389562
995	193502	389337
996	193673	389095
997	193840	388846
998	194030	388643
999	194223	388446
1000	194409	388236
1001	194603	388041
1002	194789	387831
1003	194973	387617
1004	195180	387447
1005	195370	387246
1006	195564	387051
1007	195752	386843
1008	195948	386654
1009	196158	386490
1010	196336	386264
1011	196522	386053
1012	196719	385866
1013	196892	385629
1014	197077	385417
1015	197276	385232
1016	197469	385037
1017	197650	384816
1018	197823	384581
1019	198021	384395
1020	198223	384216
1021	198412	384012
1022	198600	383805
1023	198786	383595
1024	198994	383427
1025	199191	383239
1026	199389	383052
1027	199594	382880
1028	199800	382708
1029	200035	382592
1030	200247	382431
1031	200444	382243
1032	200655	382080
1033	200847	381882
1034	201033	381671
1035	201211	381448
1036	201399	381241
1037	201584	381030
1038	201785	380848
1039	202013	380718
1040	202219	380544
1041	202401	380329
1042	202595	380133
1043	202770	379903
1044	202959	379698
1045	203149	379496
1046	203328	379275
1047	203515	379066
1048	203699	378853
1049	203883	378640
1050	204057	378408
1051	204254	378219
1052	204451	378031
1053	204622	377793
1054	204807	377583
1055	204991	377370
1056	205187	377179
1057	205374	376972
1058	205572	376784
1059	205753	376567
1060	205942	376363
1061	206147	376189
1062	206351	376014
1063	206563	375853
1064	206756	375655
1065	206950	375462
1066	207131	375244
1067	207325	375050
1068	207508	374835
1069	207697	374632
1070	207920	374490
1071	208119	374305
1072	208325	374132
1073	208523	373944
1074	208708	373734
1075	208902	373538
1076	209077	373311
1077	209277	373127
1078	209462	372916
1079	209654	372718
1080	209845	372519
1081	210033	372313
1082	210229	372123
1083	210421	371925
1084	210590	371687
1085	210779	371484
1086	210970	371285
1087	211165	371091
1088	211347	370877
1089	211542	370684
1090	211735	370489
1091	211921	370280
1092	212118	370092
1093	212299	369874
1094	212512	369713
1095	212702	369512
1096	212904	369331
1097	213122	369180
1098	213330	369009
1099	213537	368837
1100	213721	368626
1101	213882	368375
1102	214090	368203
1103	214281	368005
1104	214472	367806
1105	214648	367580
1106	214833	367371
1107	215023	367169
1108	215191	366932
1109	215369	366709
1110	215566	366521
1111	215757	366322
1112	215958	366139
1113	216151	365944
1114	216346	365751
1115	216525	365533
1116	216705	365314
1117	216899	365120
1118	217088	364918
1119	217287	364732
1120	217476	364530
1121	217659	364317
1122	217844	364108
1123	218040	363917
1124	218239	363732
1125	218421	363519
1126	218622	363336
1127	218835	363174
1128	219022	362968
1129	219212	362768
1130	219396	362557
1131	219569	362327
1132	219752	362115
1133	219943	361917
1134	220148	361741
1135	220366	361586
1136	220573	361414
1137	220768	361222
1138	220968	361038
1139	221167	360852
1140	221371	360675
1141	221589	360519
1142	221807	360364
1143	222063	360270
1144	222277	360109
1145	222472	359915
1146	222688	359758
1147	222893	359580
1148	223072	359361
1149	223273	359178
1150	223480	359005
1151	223684	358826
1152	223870	358620
1153	224080	358451
1154	224285	358273
1155	224468	358062
1156	224666	357873
1157	224867	357691
1158	225094	357548
1159	225295	357365
1160	225511	357205
1161	225766	357106
1162	226000	356975
1163	226196	356783
1164	226409	356619
1165	226627	356462
1166	226817	356261
1167	227013	356068
1168	227201	355865
1169	227397	355673
1170	227587	355471
1171	227791	355293
1172	227976	355083
1173	228148	354854
1174	228335	354649
1175	228530	354454
1176	228715	354246
1177	228914	354058
1178	229130	353898
1179	229334	353719
1180	229529	353525
1181	229738	353354
1182	230056	353348
1183	230286	353209
1184	230517	353071
1185	230729	352903
1186	230970	352780
1187	231219	352667
1188	231459	352543
1189	231765	352517
1190	232054	352465
1191	232264	352293
1192	232520	352191
1193	232772	352082
1194	233030	351983
1195	233319	351930
1196	233610	351880
1197	233894	351817
1198	234167	351739
1199	234399	351599
1200	234617	351438
1201	234829	351266
1202	235091	351171
1203	235315	351018
1204	235526	350846
1205	235738	350676
1206	235932	350477
1207	236179	350358
1208	236410	350215
1209	236643	350076
1210	236866	349921
1211	237091	349768
1212	237328	349634
1213	237595	349543
1214	237858	349447
1215	238115	349340
1216	238296	349123
1217	238530	348982
1218	238736	348801
1219	238970	348662
1220	239187	348496
1221	239393	348315
1222	239613	348154
1223	239924	348126
1224	240150	347973
1225	240376	347819
1226	240613	347683
1227	240939	347675
1228	241256	347653
1229	241525	347560
1230	241844	347541
1231	242121	347459
1232	242414	347401
1233	242688	347316
1234	242955	347219
1235	243236	347143
1236	243547	347108
1237	243833	347038
1238	244105	346949
1239	244336	346800
1240	244573	346659
1241	244796	346498
1242	245019	346338
1243	245246	346183
1244	245514	346086
1245	245769	345971
1246	246023	345853
1247	246316	345790
1248	246542	345632
1249	246782	345494
1250	247038	345379
1251	247384	345390
1252	247670	345314
1253	247941	345219
1254	248171	345067
1255	248438	344964
1256	248675	344822
1257	248896	344655
1258	249119	344493
1259	249387	344391
1260	249600	344215
1261	249813	344038
1262	250060	343907
1263	250269	343725
1264	250484	343549
1265	250699	343375
1266	250916	343203
1267	251120	343013
1268	251330	342830
1269	251544	342654
1270	251779	342507
1271	251998	342338
1272	252223	342176
1273	252450	342017
1274	252686	341869
1275	252962	341776
1276	253184	341610
1277	253397	341432
1278	253631	341282
1279	253867	341134
1280	254086	340963
1281	254324	340818
1282	254563	340674
1283	254785	340508
1284	255019	340357
1285	255254	340207
1286	255463	340022
1287	255682	339851
1288	255894	339670
1289	256095	339475
1290	256318	339308
1291	256533	339131
1292	256762	338973
1293	256960	338775
1294	257175	338597
1295	257405	338440
1296	257609	338248
1297	257809	338051
1298	258016	337864
1299	258217	337668
1300	258427	337485
1301	258650	337318
1302	258926	337220
1303	259149	337052
1304	259350	336856
1305	259592	336714
1306	259824	336558
1307	260039	336381
1308	260280	336236
1309	260503	336069
1310	260712	335883
1311	260934	335713
1312	261276	335699
1313	261505	335539
1314	261718	335357
1315	261949	335200
1316	262208	335077
1317	262429	334906
1318	262651	334736
1319	262877	334570
1320	263100	334402
1321	263326	334237
1322	263558	334079
1323	263829	333971
1324	264092	333853
1325	264336	333709
1326	264552	333531
1327	264763	333346
1328	264963	333148
1329	265167	332955
1330	265392	332787
1331	265658	332670
1332	265913	332541
1333	266127	332360
1334	266379	332226
1335	266616	332073
1336	266831	331893
1337	267028	331690
1338	267361	331656
1339	267607	331513
1340	267834	331348
1341	268051	331169
1342	268296	331025
1343	268522	330858
1344	268770	330717
1345	269004	330559
1346	269197	330351
1347	269406	330163
1348	269643	330008
1349	269858	329827
1350	270076	329649
1351	270321	329504
1352	270537	329323
1353	270779	329175
1354	271041	329050
1355	271285	328903
1356	271508	328731
1357	271760	328594
1358	271988	328427
1359	272265	328319
1360	272510	328173
1361	272761	328034
1362	272982	327858
1363	273210	327692
1364	273434	327519
1365	273661	327351
1366	273907	327206
1367	274132	327035
1368	274372	326882
1369	274633	326754
1370	274876	326603
1371	275098	326428
1372	275331	326267
1373	275587	326131
1374	275805	325951
1375	276025	325774
1376	276262	325616
1377	276512	325473
1378	276737	325301
1379	276971	325140
1380	277187	324957
1381	277399	324770
1382	277618	324590
1383	277821	324393
1384	278035	324207
1385	278270	324046
