fold,competition_train_rows,source_rows_added,total_train_rows,valid_rows,baseline_gpu_auc,augmented_gpu_auc,auc_delta,best_iteration_zero_based,tree_count,fit_seconds,inference_seconds_valid_plus_test
0,534932,10000,544932,133733,0.940021972294975,0.9400629722927288,4.0999997753865536e-05,1339,1340,59.090763200001675,0.15832439999940107
1,534932,10000,544932,133733,0.940912304095126,0.9409920602140381,7.975611891208878e-05,1402,1403,67.32998749999751,0.16575960000045598
2,534932,10000,544932,133733,0.942238421097825,0.9422875038004972,4.9082702672231804e-05,1575,1576,81.69266260000222,0.2049683000004734
3,534932,10000,544932,133733,0.9417931695503422,0.94163018092736,-0.00016298862298225192,859,860,53.56544170000052,0.11326639999970212
4,534932,10000,544932,133733,0.9412677844544941,0.9411191810139912,-0.00014860344050293683,1109,1110,64.6605404999973,0.164772099997208
