held_fold,control_cat_weight,control_xgb_weight,control_fit_auc,control_held_auc,candidate_cat_weight,candidate_xgb_weight,candidate_lgbm_weight,candidate_fit_auc,candidate_held_auc,candidate_delta_vs_control
0,0.2,0.8,0.9460899290201514,0.9449299185079028,0.15,0.55,0.3,0.9461074480211022,0.9449489614945694,1.9042986666661932e-05
1,0.2,0.8,0.9459395759773276,0.9455320279938673,0.15,0.55,0.3,0.9459542449254195,0.9455615619455456,2.953395167837325e-05
2,0.2,0.8,0.945607310471163,0.9468601366836442,0.15,0.5,0.35,0.9456276700502739,0.9468667903808781,6.653697233849343e-06
3,0.15,0.85,0.9457973501683019,0.9460935501173086,0.15,0.55,0.3,0.9458150365894807,0.9461185093369676,2.4959219659059784e-05
4,0.2,0.8,0.9458557304247073,0.9458672282114566,0.2,0.5,0.3,0.9458743995575096,0.9458761850817403,8.95687028368286e-06
