file,status,prediction_column,standalone_auc,prob_corr_vs_two_way,rank_corr_vs_two_way,rank_distance_1_minus_corr,fold_0_auc,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc
Sergey_LGBM_oof.csv,NO_UNAMBIGUOUS_PREDICTION_COLUMN,,,,,,,,,,
XGBoost_Triple_TE_5folds_oof.csv,OK,OOF_Pred,0.9461421757639688,0.8094224183173634,0.9987185109553726,0.0012814890446274374,0.9452294066695215,0.9457810947760765,0.9470388708643288,0.9464409894449731,0.9462381189804823
Pure LGBM_V6_oof.csv,OK,OOF_Pred,0.9460677414641655,0.8087863271462694,0.997671044484539,0.002328955515460973,0.9451282994872616,0.9457328006798564,0.9469418144731736,0.9463954219177415,0.9461670561518811
Pure LGBM_V3_oof.csv,OK,OOF_Pred,0.9460642523865461,0.808827263387496,0.9976881513647453,0.0023118486352546874,0.945124439335902,0.9457258075676469,0.9469430128989654,0.9463887534802002,0.946167800537411
Pure LGBM_V1_oof.csv,OK,OOF_Pred,0.9458660241607995,0.8090155688317081,0.9972490750696674,0.0027509249303325767,0.9449631392397171,0.9455368127752688,0.9467767804385716,0.9461082873216056,0.945968660534431
