fold,feature,is_hierarchical_income_te,is_exact_te,is_income_digit,is_exact_frequency,gain_importance
2,TE__Annual_Income_USD_exact,False,True,False,False,144424.13614189625
2,TE__Daily_Commute_km_exact,False,True,False,False,33396.5288746357
2,HTE__income_1k_bucket,True,False,False,False,18385.601567626
2,HTE__income_10k_bucket,True,False,False,False,11476.836400032043
2,HTE__income_100k_bucket,True,False,False,False,2630.2422959804535
3,Age,False,False,False,False,17152.12898516655
3,Annual_Income_USD,False,False,False,False,43450.069336891174
3,Daily_Commute_km,False,False,False,False,7237.098562717438
3,Number_of_Cars_Owned,False,False,False,False,1172.1959011554718
3,Charging_Stations_Near_Home,False,False,False,False,5241.08776473999
3,Charging_Stations_Near_Work,False,False,False,False,5334.675045490265
3,Environmental_Concern_Level,False,False,False,False,15313.22786450386
3,Gender,False,False,False,False,741.6324894428253
3,City_Type,False,False,False,False,915.9816436767578
3,Current_Car_Type,False,False,False,False,1174.434226989746
3,Home_Charging_Possible,False,False,False,False,2650.7662391662598
3,Subsidy_Available,False,False,False,False,507.90157651901245
3,Range_Anxiety_Level,False,False,False,False,1595.3792524337769
3,FE__income_digit_ones,False,False,True,False,1675.3601174354553
3,FE__income_digit_tens,False,False,True,False,738.0056653022766
3,FE__income_digit_hundreds,False,False,True,False,759.8742294311523
3,FE__income_digit_thousands,False,False,True,False,4051.2713532447815
3,FE__income_digit_ten_thousands,False,False,True,False,3494.78098154068
3,FE__income_digit_hundred_thousands,False,False,True,False,60.20249938964844
3,FE__income_last2,False,False,True,False,4817.724676132202
3,FE__income_last3,False,False,True,False,8415.68621134758
3,FE__income_exact_frequency_count,False,False,False,True,10847.969845533371
3,FE__income_exact_frequency_log1p,False,False,False,True,886.6557295322418
3,FE__income_exact_frequency_rate,False,False,False,True,24.009419441223145
3,FE__commute_exact_frequency_count,False,False,False,True,5018.814765453339
3,FE__commute_exact_frequency_log1p,False,False,False,True,583.9980103969574
3,FE__commute_exact_frequency_rate,False,False,False,True,85.86690044403076
3,TE__Annual_Income_USD_exact,False,True,False,False,139368.17528438568
3,TE__Daily_Commute_km_exact,False,True,False,False,27668.464351415634
3,HTE__income_1k_bucket,True,False,False,False,15319.686486959457
3,HTE__income_10k_bucket,True,False,False,False,9978.993554592133
3,HTE__income_100k_bucket,True,False,False,False,1179.7411580085754
4,Age,False,False,False,False,19598.441133260727
4,Annual_Income_USD,False,False,False,False,44992.31780409813
4,Daily_Commute_km,False,False,False,False,10510.121792554855
4,Number_of_Cars_Owned,False,False,False,False,1725.2040719985962
