fold,baseline_lgbm_auc,candidate_auc,delta_vs_baseline,best_iteration,fit_seconds,total_fold_seconds
0,0.9448567104328541,0.9448628016826505,6.091249796336129e-06,898,19.460519700000077,28.106340100000125
1,0.9454822526906932,0.9454989561744326,1.670348373938868e-05,706,17.800237099999777,25.891133399999944
2,0.9467524583493101,0.9468754247099593,0.00012296636064923483,829,16.102533599999788,24.4444754000001
3,0.9460269303277161,0.9460574194901122,3.0489162396118985e-05,479,12.563426499999878,20.09203669999988
4,0.9458018797733878,0.9458586507101399,5.6770936752048584e-05,677,13.228523299999779,21.245464600000105
