fold,feature,is_income_digit_feature,is_commute_digit_feature,is_exact_te_feature,gain_importance
3,Range_Anxiety_Level,False,False,False,0.037485841661691666
3,FE__income_digit_ones,True,False,False,0.0008917471277527511
3,FE__income_digit_tens,True,False,False,0.0009143351344391704
3,FE__income_digit_hundreds,True,False,False,0.0011364506790414453
3,FE__income_digit_thousands,True,False,False,0.0011999263660982251
3,FE__income_digit_ten_thousands,True,False,False,0.0012367836898192763
3,FE__income_digit_hundred_thousands,True,False,False,0.09608682990074158
3,FE__income_last2,True,False,False,0.000913608877453953
3,FE__income_last3,True,False,False,0.001047902274876833
3,FE__commute_digit_tenths,False,True,False,0.0009768049931153655
3,FE__commute_digit_ones,False,True,False,0.0009239192586392164
3,FE__commute_digit_tens,False,True,False,0.0011841696687042713
3,FE__commute_integer_km,False,True,False,0.0013740594731643796
3,FE__commute_last2_scaled,False,True,False,0.0009150801342912018
3,TE__Annual_Income_USD_exact,False,False,True,0.025354638695716858
3,TE__Daily_Commute_km_exact,False,False,True,0.0034812057856470346
4,Age,False,False,False,0.0017059316160157323
4,Annual_Income_USD,False,False,False,0.006323609035462141
4,Daily_Commute_km,False,False,False,0.001063669566065073
4,Number_of_Cars_Owned,False,False,False,0.0010458355536684394
4,Charging_Stations_Near_Home,False,False,False,0.0012750828173011541
4,Charging_Stations_Near_Work,False,False,False,0.0010298298439010978
4,Environmental_Concern_Level,False,False,False,0.275472491979599
4,Gender,False,False,False,0.0008788363193161786
4,City_Type,False,False,False,0.001123121241107583
4,Current_Car_Type,False,False,False,0.0010151257738471031
4,Home_Charging_Possible,False,False,False,0.005958118475973606
4,Subsidy_Available,False,False,False,0.566747784614563
4,Range_Anxiety_Level,False,False,False,0.0410025417804718
4,FE__income_digit_ones,True,False,False,0.00094363879179582
4,FE__income_digit_tens,True,False,False,0.0009817701065912843
4,FE__income_digit_hundreds,True,False,False,0.0013089070562273264
4,FE__income_digit_thousands,True,False,False,0.0013135867193341255
4,FE__income_digit_ten_thousands,True,False,False,0.0013927656691521406
4,FE__income_digit_hundred_thousands,True,False,False,0.056316860020160675
4,FE__income_last2,True,False,False,0.0009663149248808622
4,FE__income_last3,True,False,False,0.0011200979351997375
4,FE__commute_digit_tenths,False,True,False,0.0008603130700066686
4,FE__commute_digit_ones,False,True,False,0.0010849302634596825
4,FE__commute_digit_tens,False,True,False,0.0008924597641453147
4,FE__commute_integer_km,False,True,False,0.0013015081640332937
4,FE__commute_last2_scaled,False,True,False,0.0009543473715893924
4,TE__Annual_Income_USD_exact,False,False,True,0.023084547370672226
4,TE__Daily_Commute_km_exact,False,False,True,0.002836052095517516
