held_fold,selected_cat_weight,training_four_folds_auc,held_cat_auc,held_xgb_auc,held_blend_auc,delta_blend_vs_cat
0,0.81,0.945730286281594,0.9445226451913928,0.9434991445425898,0.9445809363475006,5.829115610778146e-05
1,0.82,0.9455900020159934,0.9450696193102858,0.9442280422052491,0.9451587165172344,8.909720694860734e-05
2,0.82,0.9452474280021184,0.9464517911811139,0.9454557674613029,0.9465212928947779,6.950171366404412e-05
3,0.79,0.945430109168972,0.9457721613739136,0.9445145247367286,0.9457788901303451,6.728756431484406e-06
4,0.82,0.9455065596796449,0.9454100967519183,0.944426216524135,0.945482079686031,7.198293411270207e-05
