fold,train_rows,valid_rows,lightgbm_auc,xgboost_depth4_auc,delta_vs_xgboost,best_iteration,fit_seconds,inference_seconds_valid_plus_test,device_type
0,534932,133733,0.9394546475836394,0.9408706582447172,-0.0014160106610777712,849,21.549993599997833,2.756804100001318,cpu
1,534932,133733,0.9404863165779601,0.9417301473655416,-0.0012438307875815013,665,17.253377400000318,2.335535800000798,cpu
2,534932,133733,0.9416554774285294,0.9431367450896386,-0.0014812676611092312,712,18.172366599999805,2.5170603999977175,cpu
3,534932,133733,0.9412625378747741,0.9425899293322193,-0.001327391457445204,783,19.94843779999792,2.7358735000016168,cpu
4,534932,133733,0.9404644390523298,0.9420368130630926,-0.0015723740107628226,633,17.506630200001382,2.338480600003095,cpu
