fold,train_rows,valid_rows,positive_rate_valid,auc,best_iteration_zero_based,tree_count,fit_seconds,inference_seconds_valid_plus_test
0,534932,133733,0.17463901953893204,0.9405653317544845,1368,1369,306.97922390000167,0.13903550000031828
1,534932,133733,0.1746464971248682,0.9414653730401077,1591,1592,365.19173619999856,0.13989960000253632
2,534932,133733,0.1746464971248682,0.9427259365980925,1639,1640,373.86131419999947,0.14805360000173096
3,534932,133733,0.1746464971248682,0.9424125499021668,1787,1788,417.5089877999999,0.2151321999990614
4,534932,133733,0.1746464971248682,0.9417394900051894,1330,1331,334.2416852000024,0.12171159999707015
