fold,feature,is_commute_hte,is_income_hte,is_fine_income_te,is_exact_te,is_income_digit,is_exact_frequency,is_source_prior,gain_importance
1,HTE__commute_10km_bucket,True,False,False,False,False,False,False,0.011758917942643166
1,HTE__income_50_bucket,False,False,True,False,False,False,False,0.05535590276122093
1,HTE__income_250_bucket,False,False,True,False,False,False,False,0.017786867916584015
2,Age,False,False,False,False,False,False,False,0.012548862025141716
2,Annual_Income_USD,False,False,False,False,False,False,False,0.053347546607255936
2,Daily_Commute_km,False,False,False,False,False,False,False,0.007837443612515926
2,Number_of_Cars_Owned,False,False,False,False,False,False,False,0.007367667276412249
2,Charging_Stations_Near_Home,False,False,False,False,False,False,False,0.00980293843895197
2,Charging_Stations_Near_Work,False,False,False,False,False,False,False,0.007855142466723919
2,Environmental_Concern_Level,False,False,False,False,False,False,False,0.044549502432346344
2,Gender,False,False,False,False,False,False,False,0.006868923082947731
2,City_Type,False,False,False,False,False,False,False,0.00862525962293148
2,Current_Car_Type,False,False,False,False,False,False,False,0.007501897402107716
2,Home_Charging_Possible,False,False,False,False,False,False,False,0.018404752016067505
2,Subsidy_Available,False,False,False,False,False,False,False,0.005702279042452574
2,Range_Anxiety_Level,False,False,False,False,False,False,False,0.01418461836874485
2,FE__income_digit_ones,False,False,False,False,True,False,False,0.007502339780330658
2,FE__income_digit_tens,False,False,False,False,True,False,False,0.007043949328362942
2,FE__income_digit_hundreds,False,False,False,False,True,False,False,0.008776512928307056
2,FE__income_digit_thousands,False,False,False,False,True,False,False,0.008717268705368042
2,FE__income_digit_ten_thousands,False,False,False,False,True,False,False,0.015471127815544605
2,FE__income_digit_hundred_thousands,False,False,False,False,True,False,False,0.46199437975883484
2,FE__income_last2,False,False,False,False,True,False,False,0.0071109589189291
2,FE__income_last3,False,False,False,False,True,False,False,0.007779084611684084
2,FE__income_exact_frequency_count,False,False,False,False,False,True,False,0.009064515121281147
2,FE__income_exact_frequency_log1p,False,False,False,False,False,True,False,0.008630039170384407
2,FE__income_exact_frequency_rate,False,False,False,False,False,True,False,0.009488577023148537
2,FE__commute_exact_frequency_count,False,False,False,False,False,True,False,0.007148612290620804
2,FE__commute_exact_frequency_log1p,False,False,False,False,False,True,False,0.006800579372793436
2,FE__commute_exact_frequency_rate,False,False,False,False,False,True,False,0.00635580625385046
2,SOURCE_PRIOR,False,False,False,False,False,False,True,0.01136871799826622
2,TE__Annual_Income_USD_exact,False,False,False,True,False,False,False,0.07489229738712311
2,TE__Daily_Commute_km_exact,False,False,False,True,False,False,False,0.01633099652826786
2,HTE__income_1k_bucket,False,True,False,False,False,False,False,0.008622418157756329
2,HTE__income_10k_bucket,False,True,False,False,False,False,False,0.016795950010418892
2,HTE__income_100k_bucket,False,True,False,False,False,False,False,0.00743239838629961
2,HTE__commute_1km_bucket,True,False,False,False,False,False,False,0.02465018257498741
2,HTE__commute_5km_bucket,True,False,False,False,False,False,False,0.007038591429591179
2,HTE__commute_10km_bucket,True,False,False,False,False,False,False,0.006992107257246971
2,HTE__income_50_bucket,False,False,True,False,False,False,False,0.03686515986919403
2,HTE__income_250_bucket,False,False,True,False,False,False,False,0.012530595995485783
3,Age,False,False,False,False,False,False,False,0.020844800397753716
3,Annual_Income_USD,False,False,False,False,False,False,False,0.08227957040071487
3,Daily_Commute_km,False,False,False,False,False,False,False,0.012726079672574997
3,Number_of_Cars_Owned,False,False,False,False,False,False,False,0.01119385939091444
3,Charging_Stations_Near_Home,False,False,False,False,False,False,False,0.01478884182870388
3,Charging_Stations_Near_Work,False,False,False,False,False,False,False,0.012559881433844566
3,Environmental_Concern_Level,False,False,False,False,False,False,False,0.07508714497089386
3,Gender,False,False,False,False,False,False,False,0.009294135496020317
3,City_Type,False,False,False,False,False,False,False,0.012597672641277313
3,Current_Car_Type,False,False,False,False,False,False,False,0.01168760098516941
3,Home_Charging_Possible,False,False,False,False,False,False,False,0.03195713460445404
3,Subsidy_Available,False,False,False,False,False,False,False,0.010953405871987343
3,Range_Anxiety_Level,False,False,False,False,False,False,False,0.02155720442533493
3,FE__income_digit_ones,False,False,False,False,True,False,False,0.010278518311679363
3,FE__income_digit_tens,False,False,False,False,True,False,False,0.0111530851572752
3,FE__income_digit_hundreds,False,False,False,False,True,False,False,0.012713790871202946
3,FE__income_digit_thousands,False,False,False,False,True,False,False,0.012204190716147423
3,FE__income_digit_ten_thousands,False,False,False,False,True,False,False,0.03978853300213814
3,FE__income_digit_hundred_thousands,False,False,False,False,True,False,False,0.09701304137706757
3,FE__income_last2,False,False,False,False,True,False,False,0.010466172359883785
3,FE__income_last3,False,False,False,False,True,False,False,0.011019083671271801
3,FE__income_exact_frequency_count,False,False,False,False,False,True,False,0.013411174528300762
3,FE__income_exact_frequency_log1p,False,False,False,False,False,True,False,0.015845399349927902
3,FE__income_exact_frequency_rate,False,False,False,False,False,True,False,0.014825347810983658
3,FE__commute_exact_frequency_count,False,False,False,False,False,True,False,0.010539297014474869
3,FE__commute_exact_frequency_log1p,False,False,False,False,False,True,False,0.009822076186537743
3,FE__commute_exact_frequency_rate,False,False,False,False,False,True,False,0.010026025585830212
3,SOURCE_PRIOR,False,False,False,False,False,False,True,0.018552115187048912
3,TE__Annual_Income_USD_exact,False,False,False,True,False,False,False,0.13463659584522247
3,TE__Daily_Commute_km_exact,False,False,False,True,False,False,False,0.0344267338514328
3,HTE__income_1k_bucket,False,True,False,False,False,False,False,0.012360846623778343
3,HTE__income_10k_bucket,False,True,False,False,False,False,False,0.0375961996614933
3,HTE__income_100k_bucket,False,True,False,False,False,False,False,0.01139452401548624
3,HTE__commute_1km_bucket,True,False,False,False,False,False,False,0.0415479950606823
3,HTE__commute_5km_bucket,True,False,False,False,False,False,False,0.011270524002611637
3,HTE__commute_10km_bucket,True,False,False,False,False,False,False,0.011322668753564358
3,HTE__income_50_bucket,False,False,True,False,False,False,False,0.060804642736911774
3,HTE__income_250_bucket,False,False,True,False,False,False,False,0.019454043358564377
4,Age,False,False,False,False,False,False,False,0.020999956876039505
4,Annual_Income_USD,False,False,False,False,False,False,False,0.08070255070924759
4,Daily_Commute_km,False,False,False,False,False,False,False,0.012537924572825432
4,Number_of_Cars_Owned,False,False,False,False,False,False,False,0.01251459214836359
4,Charging_Stations_Near_Home,False,False,False,False,False,False,False,0.015467219986021519
4,Charging_Stations_Near_Work,False,False,False,False,False,False,False,0.013360220938920975
4,Environmental_Concern_Level,False,False,False,False,False,False,False,0.07887642085552216
4,Gender,False,False,False,False,False,False,False,0.011133057065308094
4,City_Type,False,False,False,False,False,False,False,0.013477501459419727
4,Current_Car_Type,False,False,False,False,False,False,False,0.013194403611123562
4,Home_Charging_Possible,False,False,False,False,False,False,False,0.035320430994033813
4,Subsidy_Available,False,False,False,False,False,False,False,0.011433493345975876
4,Range_Anxiety_Level,False,False,False,False,False,False,False,0.01953914389014244
4,FE__income_digit_ones,False,False,False,False,True,False,False,0.011755868792533875
4,FE__income_digit_tens,False,False,False,False,True,False,False,0.011880829930305481
4,FE__income_digit_hundreds,False,False,False,False,True,False,False,0.013166695833206177
4,FE__income_digit_thousands,False,False,False,False,True,False,False,0.014235180802643299
4,FE__income_digit_ten_thousands,False,False,False,False,True,False,False,0.02751987613737583
4,FE__income_digit_hundred_thousands,False,False,False,False,True,False,False,0.12611684203147888
4,FE__income_last2,False,False,False,False,True,False,False,0.011593803763389587
4,FE__income_last3,False,False,False,False,True,False,False,0.011897076852619648
4,FE__income_exact_frequency_count,False,False,False,False,False,True,False,0.01460071187466383
4,FE__income_exact_frequency_log1p,False,False,False,False,False,True,False,0.013462726958096027
4,FE__income_exact_frequency_rate,False,False,False,False,False,True,False,0.0165922399610281
4,FE__commute_exact_frequency_count,False,False,False,False,False,True,False,0.011480385437607765
4,FE__commute_exact_frequency_log1p,False,False,False,False,False,True,False,0.01149003766477108
4,FE__commute_exact_frequency_rate,False,False,False,False,False,True,False,0.0072556608356535435
4,SOURCE_PRIOR,False,False,False,False,False,False,True,0.018721241503953934
4,TE__Annual_Income_USD_exact,False,False,False,True,False,False,False,0.11881889402866364
4,TE__Daily_Commute_km_exact,False,False,False,True,False,False,False,0.025670934468507767
4,HTE__income_1k_bucket,False,True,False,False,False,False,False,0.012827099300920963
4,HTE__income_10k_bucket,False,True,False,False,False,False,False,0.031588196754455566
4,HTE__income_100k_bucket,False,True,False,False,False,False,False,0.012538710609078407
4,HTE__commute_1km_bucket,True,False,False,False,False,False,False,0.03804750367999077
4,HTE__commute_5km_bucket,True,False,False,False,False,False,False,0.01158288773149252
4,HTE__commute_10km_bucket,True,False,False,False,False,False,False,0.012232261709868908
4,HTE__income_50_bucket,False,False,True,False,False,False,False,0.05679143965244293
4,HTE__income_250_bucket,False,False,True,False,False,False,False,0.019575996324419975
