source_fold,source_train_rows,source_valid_rows,source_valid_auc,best_iteration,fold_seconds,total_source_prior_seconds
0,8000,2000,0.9181281385281386,94,16.026366999998572,95.2581276000019
1,8000,2000,0.8961696969696968,290,24.658336299999064,95.2581276000019
2,8000,2000,0.9107445887445889,190,19.094377599998552,95.2581276000019
3,8000,2000,0.9063255411255411,81,13.606714300000021,95.2581276000019
4,8000,2000,0.8943792207792207,240,21.851046299998416,95.2581276000019
