fold,feature,is_triple_te,gain_importance
2,Current_Car_Type,False,0.008771025575697422
2,Home_Charging_Possible,False,0.019968919456005096
2,Subsidy_Available,False,0.007855002768337727
2,Range_Anxiety_Level,False,0.01801300048828125
2,FE__income_digit_ones,False,0.008332543075084686
2,FE__income_digit_tens,False,0.00784494448453188
2,FE__income_digit_hundreds,False,0.009876805357635021
2,FE__income_digit_thousands,False,0.009933322668075562
2,FE__income_digit_ten_thousands,False,0.01843942143023014
2,FE__income_digit_hundred_thousands,False,0.31615641713142395
2,FE__income_last2,False,0.008146719075739384
2,FE__income_last3,False,0.008720288053154945
2,FE__income_exact_frequency_count,False,0.009907941333949566
2,FE__income_exact_frequency_log1p,False,0.0114376125857234
2,FE__income_exact_frequency_rate,False,0.010149183683097363
2,FE__commute_exact_frequency_count,False,0.008136564865708351
2,FE__commute_exact_frequency_log1p,False,0.008588086813688278
2,FE__commute_exact_frequency_rate,False,0.009037942625582218
2,TE__Annual_Income_USD_exact,False,0.08573634177446365
2,TE__Daily_Commute_km_exact,False,0.01829821616411209
2,HTE__income_1k_bucket,False,0.00981909316033125
2,HTE__income_10k_bucket,False,0.01735072024166584
2,HTE__income_100k_bucket,False,0.008726686239242554
2,HTE__commute_1km_bucket,False,0.02718237042427063
2,HTE__commute_5km_bucket,False,0.007712470833212137
2,HTE__commute_10km_bucket,False,0.008364577777683735
2,HTE__income_50_bucket,False,0.04145020991563797
2,HTE__income_250_bucket,False,0.013439410366117954
2,TTE__Gender__m1p0,True,0.0075384811498224735
2,TTE__Gender__m5p0,True,0.007026994600892067
2,TTE__Gender__m20p0,True,0.004546162206679583
2,TTE__City_Type__m1p0,True,0.008713426999747753
2,TTE__City_Type__m5p0,True,0.00931747816503048
2,TTE__City_Type__m20p0,True,0.0
2,TTE__Current_Car_Type__m1p0,True,0.008101684041321278
2,TTE__Current_Car_Type__m5p0,True,0.008143248967826366
2,TTE__Current_Car_Type__m20p0,True,0.006469941232353449
2,TTE__Range_Anxiety_Level__m1p0,True,0.010730484500527382
2,TTE__Range_Anxiety_Level__m5p0,True,0.009730438701808453
2,TTE__Range_Anxiety_Level__m20p0,True,0.011927198618650436
3,Age,False,0.017667453736066818
3,Annual_Income_USD,False,0.06777369976043701
3,Daily_Commute_km,False,0.011109720915555954
3,Number_of_Cars_Owned,False,0.009637835435569286
3,Charging_Stations_Near_Home,False,0.012568805366754532
3,Charging_Stations_Near_Work,False,0.011101514101028442
3,Environmental_Concern_Level,False,0.051748327910900116
3,Gender,False,0.0075816321186721325
3,City_Type,False,0.010538117960095406
3,Current_Car_Type,False,0.010393542237579823
3,Home_Charging_Possible,False,0.026376254856586456
3,Subsidy_Available,False,0.012219341471791267
3,Range_Anxiety_Level,False,0.019522445276379585
3,FE__income_digit_ones,False,0.009253510273993015
3,FE__income_digit_tens,False,0.008844351395964622
3,FE__income_digit_hundreds,False,0.010372296907007694
3,FE__income_digit_thousands,False,0.010845652781426907
3,FE__income_digit_ten_thousands,False,0.03037516213953495
3,FE__income_digit_hundred_thousands,False,0.15349644422531128
3,FE__income_last2,False,0.009108358062803745
3,FE__income_last3,False,0.009737174957990646
3,FE__income_exact_frequency_count,False,0.011847428977489471
3,FE__income_exact_frequency_log1p,False,0.012743872590363026
3,FE__income_exact_frequency_rate,False,0.007084159180521965
3,FE__commute_exact_frequency_count,False,0.009126038290560246
3,FE__commute_exact_frequency_log1p,False,0.008550665341317654
3,FE__commute_exact_frequency_rate,False,0.00997344870120287
3,TE__Annual_Income_USD_exact,False,0.11688534170389175
3,TE__Daily_Commute_km_exact,False,0.026945238932967186
3,HTE__income_1k_bucket,False,0.011002277955412865
3,HTE__income_10k_bucket,False,0.029299193993210793
3,HTE__income_100k_bucket,False,0.009787889197468758
3,HTE__commute_1km_bucket,False,0.03398197516798973
3,HTE__commute_5km_bucket,False,0.008985724300146103
3,HTE__commute_10km_bucket,False,0.009557435289025307
3,HTE__income_50_bucket,False,0.050333548337221146
3,HTE__income_250_bucket,False,0.016740649938583374
3,TTE__Gender__m1p0,True,0.008568876422941685
3,TTE__Gender__m5p0,True,0.009956611320376396
3,TTE__Gender__m20p0,True,0.007633598055690527
3,TTE__City_Type__m1p0,True,0.009499285370111465
3,TTE__City_Type__m5p0,True,0.009063449688255787
3,TTE__City_Type__m20p0,True,0.005836582742631435
3,TTE__Current_Car_Type__m1p0,True,0.010041875764727592
3,TTE__Current_Car_Type__m5p0,True,0.009810956194996834
3,TTE__Current_Car_Type__m20p0,True,0.008890504948794842
3,TTE__Range_Anxiety_Level__m1p0,True,0.012614781036973
3,TTE__Range_Anxiety_Level__m5p0,True,0.018142476677894592
3,TTE__Range_Anxiety_Level__m20p0,True,0.006824479438364506
4,Age,False,0.016967732459306717
4,Annual_Income_USD,False,0.0642123818397522
4,Daily_Commute_km,False,0.009921198710799217
4,Number_of_Cars_Owned,False,0.010233242996037006
4,Charging_Stations_Near_Home,False,0.012210906483232975
4,Charging_Stations_Near_Work,False,0.010344578884541988
4,Environmental_Concern_Level,False,0.054297372698783875
4,Gender,False,0.008324828930199146
4,City_Type,False,0.011022254824638367
4,Current_Car_Type,False,0.01064155250787735
4,Home_Charging_Possible,False,0.027731027454137802
4,Subsidy_Available,False,0.011056316085159779
4,Range_Anxiety_Level,False,0.020406432449817657
4,FE__income_digit_ones,False,0.009586013853549957
4,FE__income_digit_tens,False,0.009322389028966427
4,FE__income_digit_hundreds,False,0.01029257383197546
4,FE__income_digit_thousands,False,0.011130754835903645
4,FE__income_digit_ten_thousands,False,0.021777719259262085
4,FE__income_digit_hundred_thousands,False,0.2156113088130951
4,FE__income_last2,False,0.009563499130308628
4,FE__income_last3,False,0.009474499151110649
4,FE__income_exact_frequency_count,False,0.011651457287371159
4,FE__income_exact_frequency_log1p,False,0.011165080592036247
4,FE__income_exact_frequency_rate,False,0.01350924838334322
4,FE__commute_exact_frequency_count,False,0.009388400241732597
4,FE__commute_exact_frequency_log1p,False,0.010177457705140114
4,FE__commute_exact_frequency_rate,False,0.007459830958396196
4,TE__Annual_Income_USD_exact,False,0.09374462068080902
4,TE__Daily_Commute_km_exact,False,0.021056432276964188
4,HTE__income_1k_bucket,False,0.010579578578472137
4,HTE__income_10k_bucket,False,0.025660322979092598
4,HTE__income_100k_bucket,False,0.009883705526590347
4,HTE__commute_1km_bucket,False,0.029199443757534027
4,HTE__commute_5km_bucket,False,0.009162901900708675
4,HTE__commute_10km_bucket,False,0.009894207119941711
4,HTE__income_50_bucket,False,0.04497958719730377
4,HTE__income_250_bucket,False,0.01592221111059189
4,TTE__Gender__m1p0,True,0.008044173941016197
4,TTE__Gender__m5p0,True,0.009862738661468029
4,TTE__Gender__m20p0,True,0.0
4,TTE__City_Type__m1p0,True,0.009604050777852535
4,TTE__City_Type__m5p0,True,0.01091011893004179
4,TTE__City_Type__m20p0,True,0.0070780199021101
4,TTE__Current_Car_Type__m1p0,True,0.009998719207942486
4,TTE__Current_Car_Type__m5p0,True,0.00915828812867403
4,TTE__Current_Car_Type__m20p0,True,0.006498824339359999
4,TTE__Range_Anxiety_Level__m1p0,True,0.013573569245636463
4,TTE__Range_Anxiety_Level__m5p0,True,0.008518093265593052
4,TTE__Range_Anxiety_Level__m20p0,True,0.009190315380692482
