fold,baseline_auc,xgb10_auc,xgb5_auc,foldbag_candidate_auc,delta_vs_baseline
0,0.9453796049998778,0.9453051988464978,0.9452294066695215,0.9453682196675087,-1.1385332369107104e-05
1,0.9460294951412247,0.9459526801015653,0.9457810947760765,0.9459964803435059,-3.30147977187778e-05
2,0.9472409372062542,0.9471123955182371,0.9470388708643288,0.9472311647702716,-9.772435982657868e-06
3,0.9466146351163407,0.946553901558234,0.9464409894449731,0.946593226565231,-2.1408551109658447e-05
4,0.9463589997815689,0.9463073144448623,0.9462381189804823,0.9463500272012204,-8.972580348487469e-06
