fold,cat_weight,xgb_weight,lgbm_weight,control_auc,candidate_auc,delta
0,0.25,0.5,0.25,0.9451562179902689,0.9451565159096986,2.9791942968149243e-07
1,0.25,0.5,0.25,0.9458091932933345,0.9458255129472243,1.6319653889818042e-05
2,0.2,0.55,0.25,0.9470867435041245,0.9470860590495819,-6.844545425988002e-07
3,0.2,0.55,0.25,0.9463826036687417,0.9464130930250894,3.0489356347640495e-05
4,0.2,0.55,0.25,0.9461277947609481,0.9461255160257764,-2.2787351716679893e-06
