fold,two_way_champion_auc,lgbmv6_auc,three_way_auc,delta_three_way_vs_two_way
0,0.9453796049998778,0.9451282994872616,0.9453694545978528,-1.015040202501094e-05
1,0.9460294951412247,0.9457328006798564,0.9460061397058137,-2.3355435410987724e-05
2,0.9472409372062542,0.9469418144731736,0.94721036328709,-3.057391916427843e-05
3,0.9466146351163407,0.9463954219177415,0.9466131928936208,-1.4422227199162307e-06
4,0.9463589997815689,0.9461670561518811,0.9463692561263314,1.0256344762482605e-05
