fold,recipe_margin_baseline_auc,digit_candidate_auc,delta_vs_recipe_margin,catboost_auc,delta_vs_catboost,best_iteration_zero_based,te_generation_seconds,fit_seconds,inference_seconds,total_fold_seconds
0,0.9448757706817792,0.9449027663328033,2.6995651024153133e-05,0.9445226451913928,0.00038012114141050546,1177,1.6109429999996792,10.23724410000068,0.2579035999988264,12.28846159999739
1,0.9454189157227464,0.9455028650712451,8.394934849875746e-05,0.9450696193102858,0.0004332457609593776,1374,1.4477333999966504,10.823622100000648,0.267855200003396,12.695792300000903
2,0.9466956443553436,0.9468081383093543,0.00011249395401069506,0.9464517911811139,0.0003563471282403974,1314,1.529309600002307,10.48181349999868,0.28403910000270116,12.44832839999799
3,0.9459249805423673,0.9460004072778,7.542673543270428e-05,0.9457721613739136,0.00022824590388637045,1059,1.5982308000020566,9.200344699998823,0.25667990000147256,11.225236199999927
4,0.9458563841939074,0.9458420125880271,-1.4371605880247884e-05,0.9454100967519183,0.00043191583610879825,1141,1.5789150999989943,9.61348530000032,0.2543301000005158,11.605260199998156
