depth,oof_auc,delta_vs_depth6,folds_beating_depth6,rank_corr_vs_depth6
5,0.9453918462832176,2.7564568912508136e-05,4,0.9993844987783403
6,0.9453642817143051,0.0,0,1.0
7,0.9453160685659916,-4.821314831349177e-05,0,0.9991996494159328
