depth,fold,depth6_auc,candidate_auc,delta_vs_depth6,best_iteration_zero_based,tree_count,fit_seconds
5,0,0.9444548687151119,0.9444611740944981,6.305379386284393e-06,1762,1763,80.3989226000001
5,1,0.944960943289874,0.945002501841363,4.1558551489018214e-05,1998,1999,87.11139609999987
5,2,0.9463564213914613,0.9463522240888952,-4.197302566066874e-06,1988,1989,97.7203442
5,3,0.9457240208872144,0.9457294825590533,5.461671838902227e-06,1364,1365,77.71629860000007
5,4,0.945356736838697,0.9454400248128716,8.32879741745618e-05,1977,1978,103.40166279999994
7,0,0.9444548687151119,0.9444124793964761,-4.2389318635760453e-05,1153,1154,99.09788879999996
7,1,0.944960943289874,0.9449156205293279,-4.532276054614037e-05,1260,1261,108.19901570000002
7,2,0.9463564213914613,0.9462638625396625,-9.255885179870749e-05,1059,1060,91.86500720000004
7,3,0.9457240208872144,0.9456842251601337,-3.9795727080682575e-05,932,933,82.21934720000013
7,4,0.945356736838697,0.9453384637061579,-1.8273132539103898e-05,1175,1176,103.81296040000007
