fold,train_rows,valid_rows,positive_rate_valid,xgboost_auc,catboost_gpu_auc,delta_vs_catboost,best_iteration_zero_based,best_validation_auc_reported,fit_seconds,inference_seconds_valid_plus_test
0,534932,133733,0.17463901953893204,0.9407760420596134,0.940021972294975,0.000754069764638432,977,0.9407760333315051,7.992054700000153,0.21370399999796064
1,534932,133733,0.1746464971248682,0.9415592061527012,0.940912304095126,0.0006469020575751161,847,0.9415592096438267,7.394640100003016,0.18865599999844562
2,534932,133733,0.1746464971248682,0.9429027661758843,0.942238421097825,0.0006643450780593474,914,0.9429027661758843,7.5254753999979584,0.19728679999752785
3,534932,133733,0.1746464971248682,0.9424390279553546,0.9417931695503422,0.0006458584050124117,884,0.9424390223307637,7.618883099999948,0.20800960000269697
4,534932,133733,0.1746464971248682,0.9418583075511261,0.9412677844544941,0.0005905230966319897,886,0.9418583085208831,7.523984600000404,0.20313630000237026
