smoothing,fold,raw_xgb_auc,candidate_auc,delta_vs_raw_xgb,catboost_champion_auc,delta_vs_catboost_champion,best_iteration_zero_based,te_generation_seconds,fit_seconds,inference_seconds,total_fold_seconds
0.0,0,0.9408706582447172,0.9444073183690656,0.0035366601243483897,0.9445226451913928,-0.00011532682232728853,1545,1.491523499998948,9.245356900000843,0.21426870000141207,11.07376479999948
0.0,1,0.9417301473655416,0.9449886170535338,0.0032584696879921493,0.9450696193102858,-8.100225675200523e-05,2110,1.4148072999996657,11.767069199999241,0.26467539999976,13.562012499998673
0.0,2,0.9431367450896386,0.9463527023730838,0.0032159572834451478,0.9464517911811139,-9.908880803011222e-05,1598,1.415240399999675,9.25311739999961,0.2197111000004952,11.013040800000454
0.0,3,0.9425899293322193,0.9457172599348482,0.0031273306026289305,0.9457721613739136,-5.4901439065391244e-05,1246,1.432164300000295,7.652770599999712,0.1904672999989998,9.401034900000013
0.0,4,0.9420368130630926,0.9454878212297615,0.0034510081666688786,0.9454100967519183,7.772447784315517e-05,1960,1.471323100000518,11.26330340000095,0.25973740000154066,13.11112310000135
1.0,0,0.9408706582447172,0.9446197971828917,0.0037491389381745233,0.9445226451913928,9.715199149884501e-05,1269,1.4956523000000743,7.762224100000822,0.1958156999990024,9.577799900000173
1.0,1,0.9417301473655416,0.9452253814975063,0.0034952341319647307,0.9450696193102858,0.0001557621872205761,1362,1.5974286000000575,8.227324299999964,0.20341039999948407,10.149084699998639
1.0,2,0.9431367450896386,0.9465873067801506,0.003450561690511944,0.9464517911811139,0.0001355155990366841,1329,1.5022339999995893,8.043599599999652,0.19888880000144127,9.867671500000142
1.0,3,0.9425899293322193,0.9458643532696358,0.003274423937416504,0.9457721613739136,9.219189572218234e-05,1128,1.4883126000004268,7.03449879999971,0.18243959999927029,8.834105199999613
1.0,4,0.9420368130630926,0.9456432350802413,0.0036064220171486694,0.9454100967519183,0.000233138328322946,1563,1.5152667000002111,9.447070399999575,0.23662289999992936,11.324428199999602
2.0,0,0.9408706582447172,0.9446251671030275,0.0037545088583103015,0.9445226451913928,0.00010252191163462321,1234,1.6195627999986755,7.58441810000113,0.19668910000109463,9.527281700000458
2.0,1,0.9417301473655416,0.9452374462452598,0.0035072988797182347,0.9450696193102858,0.0001678269349740802,1230,1.4922778000000108,7.586084800001117,0.1931129000004148,9.401149100000112
2.0,2,0.9431367450896386,0.9465856768124612,0.003448931722822568,0.9464517911811139,0.00013388563134730802,1525,1.5773645999997825,9.430505800000901,0.27047029999994265,11.41100440000082
2.0,3,0.9425899293322193,0.9458106692636006,0.003220739931381278,0.9457721613739136,3.8507889686956176e-05,1159,1.6758492999997543,8.227728800000477,0.266332400000465,10.312702200000786
2.0,4,0.9420368130630926,0.9456813279139005,0.003644514850807856,0.9454100967519183,0.0002712311619821328,1399,1.8708036000007269,11.808875599999737,0.29006440000011935,14.110260800000106
3.0,0,0.9408706582447172,0.9446028749325817,0.003732216687864498,0.9445226451913928,8.022974118881976e-05,1360,1.8308061000007,11.117148199999065,0.2507720000012341,13.343232299999727
3.0,1,0.9417301473655416,0.9452144585417314,0.003484311176189747,0.9450696193102858,0.00014483923144559263,1423,1.7232946999993146,9.102658100000554,0.22107239999968442,11.181445899999744
3.0,2,0.9431367450896386,0.9465416583751791,0.0034049132855404896,0.9464517911811139,8.986719406522958e-05,1212,1.827482400000008,8.049724700000297,0.20126630000049772,10.212974300000496
3.0,3,0.9425899293322193,0.9457963257806754,0.003206396448456106,0.9457721613739136,2.4164406761784107e-05,1129,1.6606083999995462,7.535856200000126,0.21400650000032329,9.552692399998705
