fold,baseline_auc,candidate_auc,delta_vs_baseline,best_iteration,fit_seconds,total_fold_seconds
0,0.9449267203350673,0.9449676569085679,4.093657350057178e-05,990,9.688404000000446,17.53564280000137
1,0.9455665333082081,0.9456085703378374,4.20370296293493e-05,1283,13.752163800003473,21.47994770000514
2,0.9469170951714145,0.9469299910009803,1.2895829565762185e-05,1252,11.826668900001096,19.856426199999987
3,0.9460633189102942,0.9461451923968011,8.18734865069004e-05,1105,10.925922499998705,18.992851100003463
4,0.9459080561479662,0.9459211434075782,1.3087259611910262e-05,1143,11.669379100007063,19.763669899999513
