fold,feature,is_commute_hte,is_income_hte,is_exact_te,is_income_digit,is_exact_frequency,gain_importance
2,FE__income_digit_ones,False,False,False,True,False,0.012930310331285
2,FE__income_digit_tens,False,False,False,True,False,0.01260443590581417
2,FE__income_digit_hundreds,False,False,False,True,False,0.015393185429275036
2,FE__income_digit_thousands,False,False,False,True,False,0.016937369480729103
2,FE__income_digit_ten_thousands,False,False,False,True,False,0.03006892278790474
2,FE__income_digit_hundred_thousands,False,False,False,True,False,0.1955040991306305
2,FE__income_last2,False,False,False,True,False,0.012484532780945301
2,FE__income_last3,False,False,False,True,False,0.014254889450967312
2,FE__income_exact_frequency_count,False,False,False,False,True,0.015938209369778633
2,FE__income_exact_frequency_log1p,False,False,False,False,True,0.017059151083230972
2,FE__income_exact_frequency_rate,False,False,False,False,True,0.020925156772136688
2,FE__commute_exact_frequency_count,False,False,False,False,True,0.011959923431277275
2,FE__commute_exact_frequency_log1p,False,False,False,False,True,0.01101204939186573
2,FE__commute_exact_frequency_rate,False,False,False,False,True,0.013847650960087776
2,TE__Annual_Income_USD_exact,False,False,True,False,False,0.12827108800411224
2,TE__Daily_Commute_km_exact,False,False,True,False,False,0.02587725780904293
2,HTE__income_1k_bucket,False,True,False,False,False,0.023043543100357056
2,HTE__income_10k_bucket,False,True,False,False,False,0.025325916707515717
2,HTE__income_100k_bucket,False,True,False,False,False,0.012961122207343578
2,HTE__commute_1km_bucket,True,False,False,False,False,0.03927008807659149
2,HTE__commute_5km_bucket,True,False,False,False,False,0.011649063788354397
2,HTE__commute_10km_bucket,True,False,False,False,False,0.011946733109652996
3,Age,False,False,False,False,False,0.016907040029764175
3,Annual_Income_USD,False,False,False,False,False,0.05627867206931114
3,Daily_Commute_km,False,False,False,False,False,0.010567796416580677
3,Number_of_Cars_Owned,False,False,False,False,False,0.009894595481455326
3,Charging_Stations_Near_Home,False,False,False,False,False,0.012539256364107132
3,Charging_Stations_Near_Work,False,False,False,False,False,0.010687100701034069
3,Environmental_Concern_Level,False,False,False,False,False,0.0580490343272686
3,Gender,False,False,False,False,False,0.009210535325109959
3,City_Type,False,False,False,False,False,0.009879911318421364
3,Current_Car_Type,False,False,False,False,False,0.010200788266956806
3,Home_Charging_Possible,False,False,False,False,False,0.025605522096157074
3,Subsidy_Available,False,False,False,False,False,0.011509253643453121
3,Range_Anxiety_Level,False,False,False,False,False,0.019787533208727837
3,FE__income_digit_ones,False,False,False,True,False,0.00935900304466486
3,FE__income_digit_tens,False,False,False,True,False,0.009652827866375446
3,FE__income_digit_hundreds,False,False,False,True,False,0.012774183414876461
3,FE__income_digit_thousands,False,False,False,True,False,0.012631233781576157
3,FE__income_digit_ten_thousands,False,False,False,True,False,0.031237272545695305
3,FE__income_digit_hundred_thousands,False,False,False,True,False,0.33708512783050537
3,FE__income_last2,False,False,False,True,False,0.009558524936437607
3,FE__income_last3,False,False,False,True,False,0.010880403220653534
3,FE__income_exact_frequency_count,False,False,False,False,True,0.012483302503824234
3,FE__income_exact_frequency_log1p,False,False,False,False,True,0.011969990096986294
3,FE__income_exact_frequency_rate,False,False,False,False,True,0.022064995020627975
3,FE__commute_exact_frequency_count,False,False,False,False,True,0.009201268665492535
3,FE__commute_exact_frequency_log1p,False,False,False,False,True,0.009465881623327732
3,FE__commute_exact_frequency_rate,False,False,False,False,True,0.00816977396607399
3,TE__Annual_Income_USD_exact,False,False,True,False,False,0.10740356147289276
3,TE__Daily_Commute_km_exact,False,False,True,False,False,0.023889951407909393
3,HTE__income_1k_bucket,False,True,False,False,False,0.01708170585334301
3,HTE__income_10k_bucket,False,True,False,False,False,0.026007020846009254
3,HTE__income_100k_bucket,False,True,False,False,False,0.009877114556729794
3,HTE__commute_1km_bucket,True,False,False,False,False,0.029042916372418404
3,HTE__commute_5km_bucket,True,False,False,False,False,0.009221842512488365
3,HTE__commute_10km_bucket,True,False,False,False,False,0.009825069457292557
4,Age,False,False,False,False,False,0.019054628908634186
4,Annual_Income_USD,False,False,False,False,False,0.06309223920106888
4,Daily_Commute_km,False,False,False,False,False,0.010850334540009499
4,Number_of_Cars_Owned,False,False,False,False,False,0.011358453892171383
4,Charging_Stations_Near_Home,False,False,False,False,False,0.014046343974769115
4,Charging_Stations_Near_Work,False,False,False,False,False,0.011885450221598148
4,Environmental_Concern_Level,False,False,False,False,False,0.06025184318423271
4,Gender,False,False,False,False,False,0.010339725762605667
4,City_Type,False,False,False,False,False,0.0118830855935812
4,Current_Car_Type,False,False,False,False,False,0.011923901736736298
4,Home_Charging_Possible,False,False,False,False,False,0.029356641694903374
4,Subsidy_Available,False,False,False,False,False,0.011710627935826778
4,Range_Anxiety_Level,False,False,False,False,False,0.02104755863547325
4,FE__income_digit_ones,False,False,False,True,False,0.010718428529798985
4,FE__income_digit_tens,False,False,False,True,False,0.00954605545848608
4,FE__income_digit_hundreds,False,False,False,True,False,0.01589963771402836
4,FE__income_digit_thousands,False,False,False,True,False,0.014001482166349888
4,FE__income_digit_ten_thousands,False,False,False,True,False,0.023423317819833755
4,FE__income_digit_hundred_thousands,False,False,False,True,False,0.2805204689502716
4,FE__income_last2,False,False,False,True,False,0.010597343556582928
4,FE__income_last3,False,False,False,True,False,0.01247364841401577
4,FE__income_exact_frequency_count,False,False,False,False,True,0.01428927481174469
4,FE__income_exact_frequency_log1p,False,False,False,False,True,0.015377986244857311
4,FE__income_exact_frequency_rate,False,False,False,False,True,0.019490348175168037
4,FE__commute_exact_frequency_count,False,False,False,False,True,0.010448291897773743
4,FE__commute_exact_frequency_log1p,False,False,False,False,True,0.01088685542345047
4,FE__commute_exact_frequency_rate,False,False,False,False,True,0.011258919723331928
4,TE__Annual_Income_USD_exact,False,False,True,False,False,0.11548727750778198
4,TE__Daily_Commute_km_exact,False,False,True,False,False,0.02406989224255085
4,HTE__income_1k_bucket,False,True,False,False,False,0.02011565864086151
4,HTE__income_10k_bucket,False,True,False,False,False,0.02928047999739647
4,HTE__income_100k_bucket,False,True,False,False,False,0.010886267758905888
4,HTE__commute_1km_bucket,True,False,False,False,False,0.033397771418094635
4,HTE__commute_5km_bucket,True,False,False,False,False,0.01020303089171648
4,HTE__commute_10km_bucket,True,False,False,False,False,0.010826706886291504
