fold,feature,gain_importance
0,JTE__income10k_x_commute1km,7.122143268585205
1,JTE__income10k_x_commute1km,7.0242486000061035
2,JTE__income10k_x_commute1km,6.36142635345459
3,JTE__income10k_x_commute1km,6.6559600830078125
4,JTE__income10k_x_commute1km,6.940488815307617
