fold,baseline_auc,candidate_auc,delta_vs_baseline,best_iteration,fold_seconds
0,0.9449676569085679,0.9449578849185267,-9.771990041151923e-06,1015,20.143328899999688
1,0.9456085703378374,0.9455975410966873,-1.1029241150151137e-05,1100,19.916731600000276
2,0.9469299910009803,0.946873757891501,-5.6233109479331134e-05,1248,21.45375849999982
3,0.9461451923968011,0.9461361882023721,-9.004194428952061e-06,1246,22.96543290000045
4,0.9459211434075782,0.9458652720174874,-5.587139009077813e-05,1208,23.245445800000198
