fold,feature,is_income_digit_feature,is_exact_frequency_feature,is_all_feature_frequency_extension,is_exact_te_feature,gain_importance
2,Daily_Commute_km,False,False,False,False,0.013981036841869354
2,Number_of_Cars_Owned,False,False,False,False,0.013174840249121189
2,Charging_Stations_Near_Home,False,False,False,False,0.0168143380433321
2,Charging_Stations_Near_Work,False,False,False,False,0.014186938293278217
2,Environmental_Concern_Level,False,False,False,False,0.04644899070262909
2,Gender,False,False,False,False,0.01213356014341116
2,City_Type,False,False,False,False,0.013582789339125156
2,Current_Car_Type,False,False,False,False,0.012861416675150394
2,Home_Charging_Possible,False,False,False,False,0.026790132746100426
2,Subsidy_Available,False,False,False,False,0.01339307613670826
2,Range_Anxiety_Level,False,False,False,False,0.020692653954029083
2,FE__income_digit_ones,True,False,False,False,0.012507257051765919
2,FE__income_digit_tens,True,False,False,False,0.012217791751027107
2,FE__income_digit_hundreds,True,False,False,False,0.014267537742853165
2,FE__income_digit_thousands,True,False,False,False,0.0172159094363451
2,FE__income_digit_ten_thousands,True,False,False,False,0.024381646886467934
2,FE__income_digit_hundred_thousands,True,False,False,False,0.11512534320354462
2,FE__income_last2,True,False,False,False,0.012442980892956257
2,FE__income_last3,True,False,False,False,0.014323954470455647
2,FE__income_exact_frequency_count,False,True,False,False,0.016322854906320572
2,FE__income_exact_frequency_log1p,False,True,False,False,0.018372757360339165
2,FE__income_exact_frequency_rate,False,True,False,False,0.012180374935269356
2,FE__commute_exact_frequency_count,False,True,False,False,0.012360597960650921
2,FE__commute_exact_frequency_log1p,False,True,False,False,0.01305531058460474
2,FE__commute_exact_frequency_rate,False,True,False,False,0.01006754394620657
2,FE__Age__frequency_log1p,False,False,True,False,0.021522458642721176
2,FE__Number_of_Cars_Owned__frequency_log1p,False,False,True,False,0.012570922262966633
2,FE__Charging_Stations_Near_Home__frequency_log1p,False,False,True,False,0.012897537089884281
2,FE__Charging_Stations_Near_Work__frequency_log1p,False,False,True,False,0.013518336229026318
2,FE__Environmental_Concern_Level__frequency_log1p,False,False,True,False,0.08351029455661774
2,FE__Gender__frequency_log1p,False,False,True,False,0.012104026041924953
2,FE__City_Type__frequency_log1p,False,False,True,False,0.01680651307106018
2,FE__Current_Car_Type__frequency_log1p,False,False,True,False,0.01307256892323494
2,FE__Home_Charging_Possible__frequency_log1p,False,False,True,False,0.03047807887196541
2,FE__Subsidy_Available__frequency_log1p,False,False,True,False,0.010752689093351364
2,FE__Range_Anxiety_Level__frequency_log1p,False,False,True,False,0.03238305449485779
2,TE__Annual_Income_USD_exact,False,False,False,True,0.1174057126045227
2,TE__Daily_Commute_km_exact,False,False,False,True,0.03613268956542015
3,Age,False,False,False,False,0.01969210058450699
3,Annual_Income_USD,False,False,False,False,0.0545467883348465
3,Daily_Commute_km,False,False,False,False,0.01385974045842886
3,Number_of_Cars_Owned,False,False,False,False,0.012575271539390087
3,Charging_Stations_Near_Home,False,False,False,False,0.015279303304851055
3,Charging_Stations_Near_Work,False,False,False,False,0.013469799421727657
3,Environmental_Concern_Level,False,False,False,False,0.04491459205746651
3,Gender,False,False,False,False,0.011540951207280159
3,City_Type,False,False,False,False,0.01381771918386221
3,Current_Car_Type,False,False,False,False,0.01327206939458847
3,Home_Charging_Possible,False,False,False,False,0.031753238290548325
3,Subsidy_Available,False,False,False,False,0.014028340578079224
3,Range_Anxiety_Level,False,False,False,False,0.02314312383532524
3,FE__income_digit_ones,True,False,False,False,0.011826573871076107
3,FE__income_digit_tens,True,False,False,False,0.010678785853087902
3,FE__income_digit_hundreds,True,False,False,False,0.014772399328649044
3,FE__income_digit_thousands,True,False,False,False,0.015660198405385017
3,FE__income_digit_ten_thousands,True,False,False,False,0.029969045892357826
3,FE__income_digit_hundred_thousands,True,False,False,False,0.12932363152503967
3,FE__income_last2,True,False,False,False,0.011724931187927723
3,FE__income_last3,True,False,False,False,0.013375567272305489
3,FE__income_exact_frequency_count,False,True,False,False,0.01564444787800312
3,FE__income_exact_frequency_log1p,False,True,False,False,0.017764251679182053
3,FE__income_exact_frequency_rate,False,True,False,False,0.012297607026994228
3,FE__commute_exact_frequency_count,False,True,False,False,0.012104805558919907
3,FE__commute_exact_frequency_log1p,False,True,False,False,0.011115928180515766
3,FE__commute_exact_frequency_rate,False,True,False,False,0.009557424113154411
3,FE__Age__frequency_log1p,False,False,True,False,0.019785284996032715
