fold,baseline_depth4_auc,target_encoded_auc,auc_delta,best_iteration_zero_based,te_generation_seconds,fit_seconds,total_fold_seconds,n_base_features,n_te_features,n_total_features
0,0.9408706582447172,0.9406980831782434,-0.00017257506647372356,2365,6.979706400001305,16.446587999998883,23.92261470000085,13,18,31
1,0.9417301473655416,0.9414907108529285,-0.0002394365126131559,1787,7.6295374000001175,12.567271699997946,20.640849399998842,13,18,31
2,0.9431367450896386,0.9428682709470169,-0.0002684741426217663,1949,7.26855230000001,14.315834099998028,22.064877500000875,13,18,31
3,0.9425899293322193,0.9423719919460263,-0.00021793738619302339,1675,8.054896400000871,13.195321899998817,21.73277589999998,13,18,31
4,0.9420368130630926,0.9419344311539919,-0.00010238190910072387,2324,7.635830799998075,15.59166009999899,23.72864800000025,13,18,31
