held_fold,champion_auc,stack_auc,delta,intercept
0,0.9451562179902689,0.9450908462048007,-6.537178546828226e-05,-10.737551102905494
1,0.9458091925175288,0.9458122594712499,3.066953721098109e-06,-10.715834241940417
2,0.9470867427283187,0.9470056320527261,-8.111067559257723e-05,-10.67733114669067
3,0.9463826034747904,0.9463282858294829,-5.431764530750005e-05,-10.699957272341136
4,0.9461277951488509,0.9461155156968813,-1.2279451969576805e-05,-10.705506125526716
