fold,raw_xgb_depth4_auc,value_id_xgb_auc,delta_vs_raw_xgb,catboost_multiseed_auc,delta_vs_catboost_multiseed,best_iteration_zero_based,fit_seconds,inference_seconds_valid_plus_test
0,0.9408706582447172,0.9402236334913869,-0.0006470247533302276,0.9445226451913928,-0.004299011700005906,1799,32.895633299999986,0.3994814000000133
1,0.9417301473655416,0.9413206327238834,-0.00040951464165817075,0.9450696193102858,-0.0037489865864023253,1693,31.469342900000015,0.4064378000000488
2,0.9431367450896386,0.9424826687692323,-0.0006540763204063715,0.9464517911811139,-0.0039691224118816315,641,14.521533699999964,0.24429280000003928
3,0.9425899293322193,0.9416773278009618,-0.0009126015312574953,0.9457721613739136,-0.004094833572951817,512,12.233009899999956,0.20934380000005604
4,0.9420368130630926,0.9414525136734079,-0.0005842993896847393,0.9454100967519183,-0.003957583078510463,1044,20.92747929999996,0.3369238000000223
