held_fold,control_cat_weight,control_old_xgb_weight,control_lgbm_weight,control_fit_auc,control_held_auc,candidate_cat_weight,candidate_new_xgb_weight,candidate_lgbm_weight,candidate_fit_auc,candidate_held_auc,candidate_delta_vs_control
0,0.15,0.55,0.3,0.9461074480211022,0.9449489614945694,0.15,0.6,0.25,0.9461491287377388,0.9449677213026113,1.875980804189048e-05
1,0.15,0.55,0.3,0.9459542449254195,0.9455615619455456,0.15,0.6,0.25,0.9459907014440859,0.9456023194776919,4.075753214627387e-05
2,0.15,0.5,0.35,0.9456276700502739,0.9468667903808781,0.15,0.55,0.3,0.9456592060285124,0.9469241198977048,5.732951682668741e-05
3,0.15,0.55,0.3,0.9458150365894807,0.9461185093369676,0.1,0.65,0.25,0.9458584914676159,0.9461250689677654,6.5596307977644486e-06
4,0.2,0.5,0.3,0.9458743995575096,0.9458761850817403,0.15,0.6,0.25,0.945907592282714,0.9459328881354976,5.6703053757267696e-05
