fold,seed42_auc,best_ensemble_auc,delta_vs_seed42
0,0.9445718340943023,0.9446224332655531,5.059917125072033e-05
1,0.9451596480658794,0.9452410457895658,8.139772368642717e-05
2,0.9465699454132122,0.9466248670232249,5.492161001274809e-05
3,0.9458407257203904,0.9458751251372589,3.4399416868557964e-05
4,0.9455099136535593,0.9455907217649452,8.080811138588828e-05
