feature,is_value_identity,mean_importance,std_importance
Subsidy_Available,False,51.59298768397976,0.4565344154366566
Environmental_Concern_Level,False,23.84557761437682,0.7757289219732172
Annual_Income_USD,False,6.560739968880159,0.37850772519203535
Annual_Income_USD_id,True,5.933630785038094,0.2495688796609094
Range_Anxiety_Level,False,3.4295624863703935,0.3254858287199317
Age,False,2.150790372761638,0.11003996261972925
Daily_Commute_km_id,True,1.6600125038619207,0.1267411779364232
Daily_Commute_km,False,1.304825301609241,0.13932842967713246
Charging_Stations_Near_Home,False,0.8768671399339475,0.10102202886091392
Charging_Stations_Near_Work,False,0.7200569591037913,0.06576769209707871
Home_Charging_Possible,False,0.6803476881385272,0.10336683334098312
Current_Car_Type,False,0.36936583315105,0.01725714512618781
City_Type,False,0.3425025472269418,0.10561523948880262
Gender,False,0.2793610245623914,0.08215122315239
Number_of_Cars_Owned,False,0.25337209100522545,0.06494359572749352
