fold,catboost_raw_gpu_auc,xgboost_depth4_auc,catboost_value_id_auc,delta_vs_catboost_raw,delta_vs_xgboost_depth4,best_iteration_zero_based,tree_count,fit_seconds,inference_seconds_valid_plus_test
0,0.940021972294975,0.9408706582447172,0.9444548692969856,0.004432897002010661,0.003584211052268471,1210,1211,75.56698189999952,1.8489705000029062
1,0.940912304095126,0.9417301473655416,0.9449609411564085,0.004048637061282445,0.0032307937908668816,1637,1638,208.09193600000071,2.9745527999984915
2,0.942238421097825,0.9431367450896386,0.9463564227491214,0.004118001651296388,0.0032196776594827226,1580,1581,132.8661303000008,2.694580600000336
3,0.9417931695503422,0.9425899293322193,0.9457240228267285,0.003930853276386315,0.003134093494509216,1183,1184,99.69713129999946,2.1720649000017147
4,0.9412677844544941,0.9420368130630926,0.9453567370326486,0.004088952578154448,0.003319923969555938,1563,1564,112.15143929999977,2.466375899999548
