fold,two_way_champion_auc,lgbmv5_auc,three_way_auc,delta_three_way_vs_two_way
0,0.9453796049998778,0.9452533015146072,0.9453947069547146,1.510195483678256e-05
1,0.9460294951412247,0.9458739119711597,0.9460448952714573,1.5400130232601228e-05
2,0.9472409372062542,0.9470344064906644,0.9472272386117832,-1.3698594471089898e-05
3,0.9466146351163407,0.946473259275308,0.9466190234610505,4.388344709838066e-06
4,0.9463589997815689,0.9462366697755114,0.9463741931595934,1.5193378024469517e-05
