fold,current_two_way_auc,sergey_raw_margin_auc
0,0.9453796049998778,0.9444092946067402
1,0.9460294951412247,0.9450959577184552
2,0.9472409372062542,0.9461364558553244
3,0.9466146351163407,0.9457423070144984
4,0.9463589997815689,0.9452986609968266
