fold,feature,is_income_digit_feature,is_exact_frequency_feature,is_generator_helper_feature,is_exact_te_feature,gain_importance
2,FE__income_exact_frequency_rate,False,True,False,False,0.021586250513792038
2,FE__commute_exact_frequency_count,False,True,False,False,0.014177127741277218
2,FE__commute_exact_frequency_log1p,False,True,False,False,0.013190069235861301
2,FE__commute_exact_frequency_rate,False,True,False,False,0.014751501381397247
2,FE__range_anxiety_ordinal,False,False,True,False,0.036677829921245575
2,FE__total_charging_stations,False,False,True,False,0.013639534823596478
2,FE__income_x_subsidy,False,False,True,False,0.03343607112765312
2,FE__concern_x_subsidy,False,False,True,False,0.034159597009420395
2,TE__Annual_Income_USD_exact,False,False,False,True,0.12575943768024445
2,TE__Daily_Commute_km_exact,False,False,False,True,0.03987804427742958
3,Age,False,False,False,False,0.028148764744400978
3,Annual_Income_USD,False,False,False,False,0.08425486832857132
3,Daily_Commute_km,False,False,False,False,0.01882236823439598
3,Number_of_Cars_Owned,False,False,False,False,0.01595430262386799
3,Charging_Stations_Near_Home,False,False,False,False,0.02040642872452736
3,Charging_Stations_Near_Work,False,False,False,False,0.01715022139251232
3,Environmental_Concern_Level,False,False,False,False,0.09077493101358414
3,Gender,False,False,False,False,0.015483523719012737
3,City_Type,False,False,False,False,0.016765903681516647
3,Current_Car_Type,False,False,False,False,0.016671160236001015
3,Home_Charging_Possible,False,False,False,False,0.0444331131875515
3,Subsidy_Available,False,False,False,False,0.014439340680837631
3,Range_Anxiety_Level,False,False,False,False,0.02967740222811699
3,FE__income_digit_ones,True,False,False,False,0.014871025457978249
3,FE__income_digit_tens,True,False,False,False,0.01637486182153225
3,FE__income_digit_hundreds,True,False,False,False,0.019691718742251396
3,FE__income_digit_thousands,True,False,False,False,0.021725548431277275
3,FE__income_digit_ten_thousands,True,False,False,False,0.03408561646938324
3,FE__income_digit_hundred_thousands,True,False,False,False,0.000463989534182474
3,FE__income_last2,True,False,False,False,0.015494820661842823
3,FE__income_last3,True,False,False,False,0.017973603680729866
3,FE__income_exact_frequency_count,False,True,False,False,0.020923910662531853
3,FE__income_exact_frequency_log1p,False,True,False,False,0.022737694904208183
3,FE__income_exact_frequency_rate,False,True,False,False,0.02460229955613613
3,FE__commute_exact_frequency_count,False,True,False,False,0.015622974373400211
3,FE__commute_exact_frequency_log1p,False,True,False,False,0.014917006716132164
3,FE__commute_exact_frequency_rate,False,True,False,False,0.013140063732862473
3,FE__range_anxiety_ordinal,False,False,True,False,0.019698843359947205
3,FE__total_charging_stations,False,False,True,False,0.015848081558942795
3,FE__income_x_subsidy,False,False,True,False,0.03803196921944618
3,FE__concern_x_subsidy,False,False,True,False,0.04333578795194626
3,TE__Annual_Income_USD_exact,False,False,False,True,0.16521872580051422
3,TE__Daily_Commute_km_exact,False,False,False,True,0.05225910246372223
4,Age,False,False,False,False,0.0239668358117342
4,Annual_Income_USD,False,False,False,False,0.0696396678686142
4,Daily_Commute_km,False,False,False,False,0.015887074172496796
4,Number_of_Cars_Owned,False,False,False,False,0.01406731829047203
4,Charging_Stations_Near_Home,False,False,False,False,0.017566224560141563
4,Charging_Stations_Near_Work,False,False,False,False,0.014497497119009495
4,Environmental_Concern_Level,False,False,False,False,0.08406352251768112
4,Gender,False,False,False,False,0.013137547299265862
4,City_Type,False,False,False,False,0.0148875517770648
4,Current_Car_Type,False,False,False,False,0.013937624171376228
4,Home_Charging_Possible,False,False,False,False,0.037524186074733734
4,Subsidy_Available,False,False,False,False,0.014970951713621616
4,Range_Anxiety_Level,False,False,False,False,0.025245439261198044
4,FE__income_digit_ones,True,False,False,False,0.013669680804014206
4,FE__income_digit_tens,True,False,False,False,0.013007046654820442
4,FE__income_digit_hundreds,True,False,False,False,0.01679994910955429
4,FE__income_digit_thousands,True,False,False,False,0.018491551280021667
4,FE__income_digit_ten_thousands,True,False,False,False,0.0252541396766901
4,FE__income_digit_hundred_thousands,True,False,False,False,0.13683639466762543
4,FE__income_last2,True,False,False,False,0.013057750649750233
4,FE__income_last3,True,False,False,False,0.015427972190082073
4,FE__income_exact_frequency_count,False,True,False,False,0.01792549155652523
4,FE__income_exact_frequency_log1p,False,True,False,False,0.016693131998181343
4,FE__income_exact_frequency_rate,False,True,False,False,0.02503463625907898
4,FE__commute_exact_frequency_count,False,True,False,False,0.01361131388694048
4,FE__commute_exact_frequency_log1p,False,True,False,False,0.014350619167089462
4,FE__commute_exact_frequency_rate,False,True,False,False,0.009759517386555672
4,FE__range_anxiety_ordinal,False,False,True,False,0.031259939074516296
4,FE__total_charging_stations,False,False,True,False,0.013522935099899769
4,FE__income_x_subsidy,False,False,True,False,0.03359125182032585
4,FE__concern_x_subsidy,False,False,True,False,0.03564728796482086
4,TE__Annual_Income_USD_exact,False,False,False,True,0.13436755537986755
4,TE__Daily_Commute_km_exact,False,False,False,True,0.04230043664574623
