fold,learned_margin_baseline_auc,digit_candidate_auc,delta_vs_learned_margin,catboost_auc,delta_vs_catboost,best_iteration_zero_based,te_generation_seconds,fit_seconds,inference_seconds,total_fold_seconds
0,0.9449139511126398,0.9449063347713882,-7.616341251570624e-06,0.9445226451913928,0.0003836895799953499,1192,1.5631462000019383,10.905672300003062,0.30458579999685753,16.16008619999775
1,0.945509644061093,0.9455162667261003,6.622665007394168e-06,0.9450696193102858,0.0004466474158145717,1306,1.5084349000026123,10.744226299997536,0.32377780000388157,15.545360899996012
2,0.9468314539847251,0.9468042074960319,-2.7246488693233317e-05,0.9464517911811139,0.0003524163149180026,1290,1.4964516999971238,10.578631200005475,0.28848399999696994,15.287899099996139
3,0.9460558259852887,0.9460619114048775,6.0854195887971585e-06,0.9457721613739136,0.00028975003096387564,1071,1.497396699996898,8.963858499999333,0.2672074000001885,13.864943599997787
4,0.9458602948362825,0.9458462748643173,-1.4019971965262279e-05,0.9454100967519183,0.0004361781123989328,1138,1.47859829999652,9.472468399995705,0.26698700000270037,14.095578899999964
