fold,m2_baseline_auc,digit_candidate_auc,delta_vs_m2,catboost_auc,delta_vs_catboost,best_iteration_zero_based,te_generation_seconds,fit_seconds,inference_seconds,total_fold_seconds
0,0.9446251671030275,0.9447630702442151,0.00013790314118766744,0.9445226451913928,0.00024042505282229065,1408,1.4549178000015672,9.88550000000032,0.24298179999823333,11.740651199997956
1,0.9452374462452598,0.9453883829212821,0.0001509366760222841,0.9450696193102858,0.0003187636109963643,1363,1.3808597999995982,9.288407100000768,0.22359030000006896,11.04055100000187
2,0.9465856768124612,0.9466384888129359,5.2812000474689036e-05,0.9464517911811139,0.00018669763182199706,1256,1.4130098999994516,8.5533331000006,0.2183188999988488,10.333255599998665
3,0.9458106692636006,0.945950558660991,0.00013988939739040251,0.9457721613739136,0.0001783972870773587,1233,1.450954299998557,8.622059799999988,0.22796569999991334,10.462053999999625
4,0.9456813279139005,0.9458448786080825,0.00016355069418205748,0.9454100967519183,0.0004347818561641903,1467,1.453687600002013,10.018331999999646,0.2467157999999472,11.86934470000051
