fold,feature,is_income_digit_feature,is_exact_te_feature,gain_importance
4,FE__income_digit_ones,True,False,0.0009974736021831632
4,FE__income_digit_tens,True,False,0.0009599407785572112
4,FE__income_digit_hundreds,True,False,0.0013301816070452332
4,FE__income_digit_thousands,True,False,0.0013215758372098207
4,FE__income_digit_ten_thousands,True,False,0.0013499122578650713
4,FE__income_digit_hundred_thousands,True,False,0.0412214957177639
4,FE__income_last2,True,False,0.0009590581175871193
4,FE__income_last3,True,False,0.0011446679709479213
4,TE__Annual_Income_USD_exact,False,True,0.022510873153805733
4,TE__Daily_Commute_km_exact,False,True,0.0028835327830165625
