fold,seed42_auc,best_ensemble_auc,delta_vs_seed42
0,0.9449676569085679,0.9450023003220334,3.464341346548494e-05
1,0.9456085703378374,0.945610890190709,2.319852871579542e-06
2,0.9469299910009803,0.9469631611537821,3.3170152801798025e-05
3,0.9461451923968011,0.946124215775492,-2.0976621309065635e-05
4,0.9459211434075782,0.9459312308206586,1.008741308039518e-05
