fold,income_digit_baseline_auc,digit_candidate_auc,delta_vs_income_digits,catboost_auc,delta_vs_catboost,best_iteration_zero_based,te_generation_seconds,fit_seconds,inference_seconds,total_fold_seconds
0,0.9447630702442151,0.9448757706817792,0.00011270043756406167,0.9445226451913928,0.0003531254903863523,1221,1.450042600001325,9.009389200000442,0.22734970000237809,10.833927600000607
1,0.9453883829212821,0.9454189157227464,3.0532801464255854e-05,0.9450696193102858,0.00034929641246062015,1371,1.3949898999999277,9.691350100001728,0.23303859999941778,11.466756099998747
2,0.9466384888129359,0.9466956443553436,5.715554240770526e-05,0.9464517911811139,0.00024385317422970232,1160,1.4041515000026266,8.014602700000978,0.21827420000045095,9.785125200000039
3,0.945950558660991,0.9459249805423673,-2.5578118623692525e-05,0.9457721613739136,0.00015281916845366617,1121,1.439532100001088,7.857096499999898,0.21599309999874095,9.66785880000316
4,0.9458448786080825,0.9458563841939074,1.1505585824855835e-05,0.9454100967519183,0.00044628744198904613,1378,1.4304425999980594,9.354631800000789,0.2437939000010374,11.174562899999728
