fold,two_way_champion_auc,external_01blend_auc,three_way_auc,delta_three_way_vs_two_way
0,0.9453796049998778,0.9453119877630837,0.9454213839328071,4.177893292922619e-05
1,0.9460294951412247,0.9458838706005006,0.9460472238521426,1.7728710917874757e-05
2,0.9472409372062542,0.9470797071407495,0.947258656995407,1.7719789152770282e-05
3,0.9466146351163407,0.9464397000559681,0.9466202571859997,5.622069659039219e-06
4,0.9463589997815689,0.9462475904038693,0.9463902374024743,3.123762090539994e-05
