held_fold,selected_cat_weight,selected_xgb_weight,selection_auc_other_4_folds,held_cat_auc,held_xgb_auc,held_blend_auc,blend_delta_vs_cat,blend_delta_vs_xgb
0,0.3,0.7,0.9460300650553348,0.9445226451913928,0.9448757706817792,0.9449185869018892,0.0003959417104963947,4.281622011004238e-05
1,0.3,0.7,0.9458972119760084,0.9450696193102858,0.9454189157227464,0.9454639149723327,0.00039429566204696176,4.4999249586341605e-05
2,0.28,0.72,0.9455685203821133,0.9464517911811139,0.9466956443553436,0.9467703623923068,0.00031857121119294174,7.471803696323942e-05
3,0.26,0.74,0.9457533674348149,0.9457721613739136,0.9459249805423673,0.9460224145569269,0.0002502531830133048,9.743401455963863e-05
4,0.32,0.6799999999999999,0.9457917964802592,0.9454100967519183,0.9458563841939074,0.945873812086181,0.0004637153342627043,1.7427892273658152e-05
