held_fold,selected_cat_weight,selected_xgb_weight,selection_auc_other_4_folds,held_cat_auc,held_xgb_auc,held_blend_auc,blend_delta_vs_cat,blend_delta_vs_xgb
0,0.22,0.78,0.9460633012122275,0.9445226451913928,0.9449027663328033,0.9449253281048162,0.00040268291342338003,2.256177201287457e-05
1,0.23,0.77,0.9459192457336157,0.9450696193102858,0.9455028650712451,0.9455166234027521,0.000447004092466341,1.3758331506963373e-05
2,0.21,0.79,0.9455850712809081,0.9464517911811139,0.9468081383093543,0.9468430324962819,0.00039124131516798943,3.489418692759205e-05
3,0.18,0.8200000000000001,0.9457805341962962,0.9457721613739136,0.9460004072778,0.9460533849127829,0.00028122353886927964,5.2977634982909194e-05
4,0.23,0.77,0.9458321759418336,0.9454100967519183,0.9458420125880271,0.945854181293739,0.00044408454182065515,1.2168705711856909e-05
