fold,cat_weight,xgb_weight,lgbm_weight,control_auc,candidate_auc,delta
0,0.25,0.5,0.25,0.9451562179902689,0.9451848504525344,2.8632462265476555e-05
1,0.25,0.5,0.25,0.9458091932933345,0.9458440630423837,3.486974904920448e-05
2,0.2,0.55,0.25,0.9470867435041245,0.9470725082460888,-1.423525803567749e-05
3,0.2,0.55,0.25,0.9463826036687417,0.9463928745598604,1.0270891118713266e-05
4,0.2,0.55,0.25,0.9461277947609481,0.9461450523638797,1.725760293158629e-05
