fold,raw_xgb_auc,exact_te_xgb_auc,delta_vs_raw_xgb,catboost_champion_auc,delta_vs_catboost_champion,best_iteration_zero_based,te_generation_seconds,fit_seconds,inference_seconds,total_fold_seconds
0,0.9408706582447172,0.9434991445425898,0.002628486297872601,0.9445226451913928,-0.0010235006488030773,1859,1.3680159999998978,11.161572799999703,0.2757688000001508,12.920814300000075
1,0.9417301473655416,0.9442280422052491,0.0024978948397075262,0.9450696193102858,-0.0008415771050366283,1838,1.472516799999994,11.811578299999837,0.2476360000000568,13.680957600000056
2,0.9431367450896386,0.9454557674613029,0.002319022371664259,0.9464517911811139,-0.0009960237198110011,1894,1.536895799999911,12.504579800000101,0.2790524000001824,14.44649840000011
3,0.9425899293322193,0.9445145247367286,0.0019245954045092883,0.9457721613739136,-0.0012576366371850334,1424,1.6083779000000504,8.773268000000371,0.20644910000009986,10.713319299999966
4,0.9420368130630926,0.944426216524135,0.0023894034610424386,0.9454100967519183,-0.0009838802277832848,1762,1.4784442000000126,10.063351499999953,0.23982900000009977,11.900515899999846
