held_fold,control_cat_weight,control_xgb_weight,control_old_lgbm_weight,control_fit_auc,control_held_auc,candidate_cat_weight,candidate_xgb_weight,candidate_new_lgbm_weight,candidate_fit_auc,candidate_held_auc,candidate_delta_vs_control
0,0.25,0.5,0.25,0.9462032765907045,0.9450119190852846,0.2,0.55,0.25,0.9462005578525046,0.9450021414704626,-9.777614822015224e-06
1,0.25,0.5,0.25,0.9460437264870308,0.9456511979495246,0.2,0.55,0.25,0.9460393657435976,0.9456471858705594,-4.012078965165422e-06
2,0.2,0.55,0.25,0.9457127933777196,0.9469760420490888,0.2,0.55,0.25,0.945706433632917,0.9469789455017672,2.9034526783933146e-06
3,0.2,0.55,0.25,0.9459034914363698,0.946212395592249,0.2,0.55,0.25,0.9458981682251627,0.9462108501873763,-1.545404872738132e-06
4,0.2,0.55,0.25,0.9459637421517597,0.9459699625302779,0.2,0.55,0.25,0.9459596278499225,0.9459647588138207,-5.2037164571805405e-06
