fold,baseline_auc,candidate_auc,delta_vs_baseline,best_iteration,fit_seconds,total_fold_seconds
0,0.9451003169781269,0.9447792539026059,-0.0003210630755210442,1879,18.879594599999564,27.96073350000006
1,0.9458012655292571,0.9455157085339289,-0.0002855569953282844,2363,26.307028100000025,35.83040099999971
2,0.9470206786095297,0.9466728288806714,-0.0003478497288582627,2281,25.11385930000006,34.79971960000012
3,0.9463473239064019,0.9461138729283985,-0.00023345097800331338,2020,20.476850500000182,31.11283949999961
4,0.9460753532076756,0.9457734170153728,-0.00030193619230278745,1941,19.95222019999983,29.79398110000011
