feature,is_new_income_bucket,is_exact_value_id,mean_importance,std_importance
Subsidy_Available,False,False,51.71726620245155,0.6822147573209166
Environmental_Concern_Level,False,False,24.128190588630225,0.483834464841116
Annual_Income_USD_id,False,True,5.466347399883696,0.13804724801461424
Range_Anxiety_Level,False,False,3.6261300154753977,0.19881708215918364
CAT__income_1k_bucket,True,False,3.451717963206923,0.13037011015215613
Age,False,False,2.2825995783786857,0.11559534510038037
Annual_Income_USD,False,False,1.902126470822592,0.26623621827973665
Daily_Commute_km_id,False,True,1.6875706971672861,0.14759684440766596
Daily_Commute_km,False,False,1.377481633833117,0.13999060988928536
CAT__income_10k_bucket,True,False,0.9138470650829446,0.11710025499314294
Charging_Stations_Near_Home,False,False,0.8990282112129092,0.18623613132631855
Charging_Stations_Near_Work,False,False,0.6785299883100178,0.08874010221784735
Home_Charging_Possible,False,False,0.6414245593898497,0.09802553664372904
Current_Car_Type,False,False,0.3539699401082598,0.06021756122991596
City_Type,False,False,0.3158064967986073,0.04814703165631502
Gender,False,False,0.27439017831872947,0.058555631061727266
Number_of_Cars_Owned,False,False,0.21933653094202948,0.038220087114335936
CAT__income_100k_bucket,True,False,0.06423647998711805,0.033949504919386184
