fold,baseline_auc,candidate_auc,delta_vs_baseline,best_iteration,total_fold_seconds
0,0.9444548687151119,0.9445330428898195,7.817417470767918e-05,1709,126.29775960000552
1,0.944960943289874,0.9450693235343781,0.00010838024450410266,1480,115.34270230000402
2,0.9463564213914613,0.9465131025204849,0.00015668112902367248,1989,148.01405030000024
3,0.9457240208872144,0.9457631079158255,3.908702861110669e-05,1319,112.81070410000393
4,0.945356736838697,0.9454831219809339,0.00012638514223684005,1597,150.36533110000164
